scenario,age_group,metric,module,module_label,mapping_threshold,models_sig,n_models_sig,subject_level_csv,group_summary_csv,plot_path,site_plot_path
OVERALL_ageSexMatched_fd-0.2,adult_18_plus,Z,1,M1 Somatomotor,fd-0.2,"site,site_iq",2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/Z/M1_Somatomotor/subject_level_values.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/Z/M1_Somatomotor/group_summary.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/Z/M1_Somatomotor/boxplot_dxsex.png,
OVERALL_ageSexMatched_fd-0.2,adult_18_plus,Z,5,M5 Visual-B,fd-0.2,"site,site_iq",2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/Z/M5_Visual-B/subject_level_values.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/Z/M5_Visual-B/group_summary.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/Z/M5_Visual-B/boxplot_dxsex.png,
OVERALL_ageSexMatched_fd-0.2,adult_18_plus,Z_pos,1,M1 Somatomotor,fd-0.2,"site,site_iq",2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/Z_pos/M1_Somatomotor/subject_level_values.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/Z_pos/M1_Somatomotor/group_summary.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/Z_pos/M1_Somatomotor/boxplot_dxsex.png,
OVERALL_ageSexMatched_fd-0.2,child_0_9,PC,5,M5 Visual-B,fd-0.2,site_iq,1,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/child_0_9/PC/M5_Visual-B/subject_level_values.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/child_0_9/PC/M5_Visual-B/group_summary.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/child_0_9/PC/M5_Visual-B/boxplot_dxsex.png,
OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_neg,2,M2 Visual-A,fd-0.2,"site,site_iq,site_iq_rh",3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/child_0_9/Strength_neg/M2_Visual-A/subject_level_values.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/child_0_9/Strength_neg/M2_Visual-A/group_summary.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/child_0_9/Strength_neg/M2_Visual-A/boxplot_dxsex.png,
OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC,7,M7 Limbic,fd-0.2,"site,site_iq",2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/PC/M7_Limbic/subject_level_values.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/PC/M7_Limbic/group_summary.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/PC/M7_Limbic/boxplot_dxsex.png,
OVERALL_ageSexMatched_fd-0.3,adult_18_plus,Z,1,M1 Somatomotor,fd-0.3,"site,site_iq",2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.3/adult_18_plus/Z/M1_Somatomotor/subject_level_values.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.3/adult_18_plus/Z/M1_Somatomotor/group_summary.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.3/adult_18_plus/Z/M1_Somatomotor/boxplot_dxsex.png,
OVERALL_ageSexMatched_fd-0.3,adult_18_plus,Z,6,M6 Visual-B,fd-0.3,"site,site_iq",2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.3/adult_18_plus/Z/M6_Visual-B/subject_level_values.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.3/adult_18_plus/Z/M6_Visual-B/group_summary.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.3/adult_18_plus/Z/M6_Visual-B/boxplot_dxsex.png,
OVERALL_ageSexMatched_fd-0.3,adult_18_plus,Z_pos,1,M1 Somatomotor,fd-0.3,"site,site_iq",2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.3/adult_18_plus/Z_pos/M1_Somatomotor/subject_level_values.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.3/adult_18_plus/Z_pos/M1_Somatomotor/group_summary.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.3/adult_18_plus/Z_pos/M1_Somatomotor/boxplot_dxsex.png,
OVERALL_ageSexMatched_fd-0.3,child_0_9,PC,6,M6 Visual-B,fd-0.3,"site,site_iq",2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.3/child_0_9/PC/M6_Visual-B/subject_level_values.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.3/child_0_9/PC/M6_Visual-B/group_summary.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/plots_dxsex_sig/OVERALL_ageSexMatched_fd-0.3/child_0_9/PC/M6_Visual-B/boxplot_dxsex.png,
