scenario,sex,age_group,metric,module,mean_ASD,mean_CTL,beta_CTL_minus_ASD,p_DX,p_SITE,r2,n_ASD,n_CTL,note,p_DX_FDR,DX_FDR_significant
ABIDE2_fd2,female,adult_18_plus,PC,1,0.6284542388535228,0.2833791168404136,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC,2,0.508397587378697,0.5201941363517111,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC,3,0.4477929267420537,0.5494410149767679,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC,4,0.46100092055477027,0.3458949003677442,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC,5,0.4263546920956689,0.38992236706129924,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC,6,0.38766457241393404,0.41275451309559485,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC,7,0.4697795653857042,0.5476250063396118,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC_neg,1,0.06246442428977402,0.030570059565513456,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC_neg,2,0.007569193602809087,0.0032046330484426008,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC_neg,3,0.02944306214143812,0.018531849027837978,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC_neg,4,0.010651393087958518,0.022267304856144705,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC_neg,5,0.03342425170122268,0.02674272289779578,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC_neg,6,0.009463298249813453,0.025078888679098483,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC_neg,7,0.0,0.00917036246704012,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC_pos,1,0.6183701050722437,0.28300476659323104,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC_pos,2,0.49908212358933723,0.5183841928114566,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC_pos,3,0.4403128791465555,0.546256508022298,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC_pos,4,0.45753520541697446,0.34212075225581806,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC_pos,5,0.42329581859480025,0.38705505903285825,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC_pos,6,0.38236119670146584,0.41058028324356066,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,PC_pos,7,0.4686734167074774,0.5462702924216474,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,strength_neg,1,0.31646536929266794,0.332789448263881,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,strength_neg,2,0.12071754264109064,0.015203856227003333,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,strength_neg,3,0.12627541191048092,0.16548239471565965,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
