scenario,age_group,sex,metric,module,ados_col,asd_only,require_ados_reliable,n,pearson_r,pearson_p,spearman_rho,spearman_p,note,subject_csv,scatter_png,spearman_p_fdr_by_scenario_sex,spearman_fdr_sig_by_scenario_sex,spearman_p_fdr_by_scenario_sex_metric,spearman_fdr_sig_by_scenario_sex_metric,saved_plot
OVERALL_ageSexMatched_fd-0.2,preteen_10_12,female,Z,4,ADOS_TOTAL,True,False,7,-0.8379202107815409,0.0185774440737714,-0.9456108576893004,0.0012866531003999,,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/Z/module_4/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/Z/module_4/scatter.png,0.1235186976383959,False,0.0308796744095989,True,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/selected_scatterplots/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/Z/M4__rho_-0.946.png
OVERALL_ageSexMatched_fd-0.2,preteen_10_12,female,PC_neg,2,ADOS_TOTAL,True,False,7,0.8942037268121464,0.0066002541051485,0.9456108576893004,0.0012866531003999,,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/PC_neg/module_2/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/PC_neg/module_2/scatter.png,0.1235186976383959,False,0.0308796744095989,True,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/selected_scatterplots/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/PC_neg/M2__rho_0.946.png
OVERALL_ageSexMatched_fd-0.3,preteen_10_12,female,PC_neg,2,ADOS_TOTAL,True,False,8,0.8979931019159936,0.0024546890592722,0.9277781834703688,0.0008914953638238,,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.3/preteen_10_12/female/PC_neg/module_2/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.3/preteen_10_12/female/PC_neg/module_2/scatter.png,0.1711671098541798,False,0.0213958887317724,True,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/selected_scatterplots/OVERALL_ageSexMatched_fd-0.3/preteen_10_12/female/PC_neg/M2__rho_0.928.png
OVERALL_ageSexMatched_fd-0.2,teen_13_17,female,Z,4,ADOS_TOTAL,True,False,6,0.7996875042631841,0.056168864866925,0.898645105261295,0.0148886220055803,,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Z/module_4/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Z/module_4/scatter.png,0.5665296995195769,False,0.1786634640669642,False,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/selected_scatterplots/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Z/M4__rho_0.899.png
OVERALL_ageSexMatched_fd-0.3,preteen_10_12,female,Strength_pos,2,ADOS_TOTAL,True,False,8,-0.6585222749712145,0.0757931901177624,-0.8554837795635868,0.0067513302509379,,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.3/preteen_10_12/female/Strength_pos/module_2/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.3/preteen_10_12/female/Strength_pos/module_2/scatter.png,0.615192091376245,False,0.1535951768263014,False,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/selected_scatterplots/OVERALL_ageSexMatched_fd-0.3/preteen_10_12/female/Strength_pos/M2__rho_-0.855.png
OVERALL_ageSexMatched_fd-0.3,teen_13_17,female,PC_neg,7,ADOS_TOTAL,True,False,6,-0.4480621631763576,0.3728831684295881,-0.8406680016960504,0.0360575728451591,,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/PC_neg/module_7/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/PC_neg/module_7/scatter.png,0.6394393060565119,False,0.2884605827612734,False,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/selected_scatterplots/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/PC_neg/M7__rho_-0.841.png
OVERALL_ageSexMatched_fd-0.2,teen_13_17,female,PC,1,ADOS_TOTAL,True,False,6,-0.6866104404415148,0.131930057140508,-0.8406680016960504,0.0360575728451591,,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/PC/module_1/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/PC/module_1/scatter.png,0.5665296995195769,False,0.4009117505916472,False,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/selected_scatterplots/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/PC/M1__rho_-0.841.png
OVERALL_ageSexMatched_fd-0.2,teen_13_17,female,Z_pos,8,ADOS_TOTAL,True,False,6,-0.6516833476844822,0.1608570652712753,-0.8406680016960504,0.0360575728451591,,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Z_pos/module_8/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Z_pos/module_8/scatter.png,0.5665296995195769,False,0.4107340321516932,False,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/selected_scatterplots/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Z_pos/M8__rho_-0.841.png
OVERALL_ageSexMatched_fd-0.3,teen_13_17,female,PC_pos,2,ADOS_TOTAL,True,False,6,0.5087396098178406,0.3027255583088619,0.8406680016960504,0.0360575728451591,,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/PC_pos/module_2/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/PC_pos/module_2/scatter.png,0.6394393060565119,False,0.5756756564314826,False,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/selected_scatterplots/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/PC_pos/M2__rho_0.841.png
OVERALL_ageSexMatched_fd-0.3,teen_13_17,female,PC,8,ADOS_TOTAL,True,False,6,0.7902507363517342,0.0613781968153873,0.8406680016960504,0.0360575728451591,,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/PC/module_8/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/PC/module_8/scatter.png,0.6394393060565119,False,0.7038408180854291,False,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations_all_modules/selected_scatterplots/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/PC/M8__rho_0.841.png
