SITE_ID,n_subjects,mean_missing_general,pct_fiq_missing,pct_handed_missing
LEUVEN_2,31,1.032258064516129,100.0,3.225806451612903
NYU,179,1.0,0.0,100.0
UM_1,81,0.12345679012345678,4.938271604938271,7.4074074074074066
MAX_MUN,47,0.0425531914893617,4.25531914893617,0.0
CALTECH,37,0.02702702702702703,2.7027027027027026,0.0
ABIDEII-GU_1,45,0.022222222222222223,2.2222222222222223,0.0
PITT,47,0.02127659574468085,0.0,2.127659574468085
ABIDEII-KKI_1,161,0.006211180124223602,0.6211180124223602,0.0
ABIDEII-OHSU_1,38,0.0,0.0,0.0
KKI,39,0.0,0.0,0.0
SDSU,32,0.0,0.0,0.0
STANFORD,31,0.0,0.0,0.0
TRINITY,45,0.0,0.0,0.0
UCLA_1,55,0.0,0.0,0.0
YALE,47,0.0,0.0,0.0
