ROI_index	Module
1	6
2	7
3	6
4	5
5	7
6	4
7	4
8	1
9	2
10	2
11	7
12	4
13	5
14	7
15	5
16	8
17	8
18	5
19	7
20	5
21	1
22	7
23	8
24	5
25	8
26	6
27	3
28	1
29	7
30	2
31	8
32	7
33	5
34	8
35	5
36	2
37	3
38	4
39	4
40	4
41	2
42	4
43	7
44	6
45	5
46	7
47	5
48	3
49	7
50	8
51	7
52	2
53	4
54	6
55	5
56	4
57	8
58	7
59	5
60	1
61	4
62	3
63	8
64	8
65	1
66	5
67	5
68	5
69	4
70	6
71	7
72	7
73	8
74	4
75	4
76	4
77	2
78	7
79	5
80	2
81	6
82	7
83	5
84	5
85	6
86	2
87	3
88	5
89	6
90	1
91	7
92	3
93	8
94	5
95	8
96	1
97	6
98	5
99	8
100	8
101	7
102	6
103	2
104	7
105	6
106	4
107	4
108	6
109	7
110	3
111	1
112	3
113	4
114	8
115	8
116	5
117	4
118	2
119	5
120	2
121	5
122	3
123	1
124	4
125	4
126	2
127	4
128	5
129	3
130	7
131	6
132	8
133	7
134	1
135	5
136	8
137	5
138	6
139	7
140	7
141	4
142	6
143	8
144	4
145	3
146	5
147	4
148	5
149	4
150	8
151	8
152	2
153	7
154	5
155	3
156	8
157	5
158	6
159	6
160	7
161	5
162	2
163	8
164	8
165	5
166	7
167	4
168	4
169	4
170	6
171	8
172	6
173	4
174	7
175	6
176	2
177	6
178	5
179	6
180	8
181	7
182	5
183	4
184	5
185	5
186	7
187	4
188	1
189	6
190	2
191	7
192	2
193	7
194	2
195	6
196	4
197	4
198	3
199	2
200	5
