sex,age_group,metric,module,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,n_ASD,n_CTL,note,p_FDR,FDR_significant
female,preteen_10_12,PC,1,-0.0058499077309415864,0.7696747194514102,0.5737719601824824,0.5587329273177679,16,15,,0.9406477538212932,False
female,preteen_10_12,PC,2,-0.029093186041869556,0.5728631648764598,0.41749041754842364,0.43037008874945276,16,15,,0.9406477538212932,False
female,preteen_10_12,PC,3,0.0015291109066397635,0.9406477538212932,0.46534670806722556,0.47290829138236606,16,15,,0.9406477538212932,False
female,preteen_10_12,PC,4,0.07713246392545231,0.29285888661726517,0.47793020251538987,0.5185177224380131,16,15,,0.9406477538212932,False
female,preteen_10_12,PC,5,0.039675445735085864,0.3062608021042091,0.48946741495632506,0.5259809202462778,16,15,,0.9406477538212932,False
female,preteen_10_12,PC,6,-0.04620910658466188,0.5250165093117661,0.39935731661561075,0.38086538866238695,16,15,,0.9406477538212932,False
female,preteen_10_12,PC,7,-0.05031995664983093,0.2064390063847132,0.4986012432848643,0.4759176344608872,16,15,,0.9406477538212932,False
female,preteen_10_12,Z,1,-0.009130642344136596,0.8411452761516255,-0.06408652480019919,-0.08596729078240263,16,15,,0.9406477538212932,False
female,preteen_10_12,Z,2,-0.01886599369176729,0.8064120478108826,0.08501393531418379,0.029153125846636697,16,15,,0.9406477538212932,False
female,preteen_10_12,Z,3,-0.0476466273710621,0.5703342437777653,-0.1697408798343947,-0.23859737170853595,16,15,,0.9406477538212932,False
female,preteen_10_12,Z,4,-0.009124371175877041,0.9342746532537572,-0.08016321019898712,-0.08020986407173987,16,15,,0.9406477538212932,False
female,preteen_10_12,Z,5,0.12424207485282379,0.012739403755391154,-0.024771620926049686,0.07950910859720664,16,15,,0.2802668826186054,False
female,preteen_10_12,Z,6,-0.14167238540342322,0.04419881137773038,-0.01648150600659444,-0.1509937194630782,16,15,,0.48618692515503414,False
female,preteen_10_12,Z,7,0.021780306685026563,0.7210952323904167,-0.032136855893949455,-0.002724381884258799,16,15,,0.9406477538212932,False
female,preteen_10_12,Strength_pos,1,0.14987196696347582,0.902812884831993,11.563787584346876,10.216422473260462,16,15,,0.9406477538212932,False
female,preteen_10_12,Strength_pos,2,-0.9801594571397254,0.6274604590367099,16.33074635382022,14.092926743158612,16,15,,0.9406477538212932,False
female,preteen_10_12,Strength_pos,3,-0.16209712769249818,0.8599419470232919,7.280530998912065,6.985495323135145,16,15,,0.9406477538212932,False
female,preteen_10_12,Strength_pos,4,-0.12111168009446796,0.9328907421042996,5.174327544352504,5.0749685207016215,16,15,,0.9406477538212932,False
female,preteen_10_12,Strength_pos,5,1.3190797742583928,0.46932465275416435,12.439534808576468,11.864593471721724,16,15,,0.9406477538212932,False
female,preteen_10_12,Strength_pos,6,-0.988167170509576,0.4133368073548196,5.71265506322012,4.4086574947794555,16,15,,0.9406477538212932,False
female,preteen_10_12,Strength_pos,7,-0.16828278595656965,0.9186407460254152,10.532567485800733,10.591338978431107,16,15,,0.9406477538212932,False
female,preteen_10_12,Strength_neg,1,0.0,,0.0,0.0,16,15,constant_outcome,,False
female,preteen_10_12,Strength_neg,2,0.0,,0.0,0.0,16,15,constant_outcome,,False
female,preteen_10_12,Strength_neg,3,0.0,,0.0,0.0,16,15,constant_outcome,,False
female,preteen_10_12,Strength_neg,4,0.0,,0.0,0.0,16,15,constant_outcome,,False
female,preteen_10_12,Strength_neg,5,0.0,,0.0,0.0,16,15,constant_outcome,,False
female,preteen_10_12,Strength_neg,6,0.0,,0.0,0.0,16,15,constant_outcome,,False
female,preteen_10_12,Strength_neg,7,0.009835685411739105,0.6089368623950817,0.0,0.017483202155783313,16,15,,0.9406477538212932,False
