scenario,mapping_threshold,age_group,metric,module,module_label,n_CTL_male,mean_CTL_male,sd_CTL_male,median_CTL_male,min_CTL_male,max_CTL_male,n_ASD_male,mean_ASD_male,sd_ASD_male,median_ASD_male,min_ASD_male,max_ASD_male,n_CTL_female,mean_CTL_female,sd_CTL_female,median_CTL_female,min_CTL_female,max_CTL_female,n_ASD_female,mean_ASD_female,sd_ASD_female,median_ASD_female,min_ASD_female,max_ASD_female,cohens_d_male_CTL_minus_ASD,cohens_d_female_CTL_minus_ASD,delta_d_female_minus_male,abs_delta_d,stronger_in_d,interaction_pattern_d
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,Strength_neg,2,M2 Visual-A,70,9.476827685690322,5.251521997888553,8.809435950712214,0.4292121898615733,22.329847160726786,64,9.14733847727093,4.910387700050465,8.90755352092674,1.2557946643792093,23.25948758884624,49,9.09592797588978,4.228246171705924,9.356282884255052,2.0172903191123623,19.31626642891206,10,13.779111056464899,3.7531704319800268,13.834709776638192,9.289998899330385,17.87039557781827,0.0647128231200333,-1.1266194884031797,-1.191332311523213,1.191332311523213,female,opposite_directions
OVERALL_ageSexMatched_fd-0.2,fd-0.2,adult_18_plus,Z,1,M1 Somatomotor,131,0.15573497623390442,0.20200449020987127,0.1766235132214133,-0.4140379978847505,0.5555389413436339,113,0.19147151516849809,0.22153494098845322,0.2246054524141289,-0.4576320935196857,0.6119849455596542,22,0.2107952722171276,0.1660663053413175,0.2246741174167321,-0.1830153077773966,0.4547204190578927,14,-0.005525735876506835,0.27826301770647394,0.025766847142153652,-0.5934194706347401,0.3728974398004077,-0.1691526901424542,1.0016666435692057,1.17081933371166,1.17081933371166,female,opposite_directions
OVERALL_ageSexMatched_fd-0.2,fd-0.2,adult_18_plus,Z_pos,1,M1 Somatomotor,131,0.16347242884046265,0.19759226510777478,0.1904110436463083,-0.4646758514832017,0.5555389413436339,113,0.20310889615140693,0.21614475745275055,0.2375851844357608,-0.5312857306741922,0.6119849455596542,22,0.20296696634267394,0.16705201662355357,0.21720406664568004,-0.213996959592675,0.4559894529254543,14,0.03052884533893899,0.26850067234885117,0.022819369333594804,-0.5934194706347401,0.3728974398004077,-0.19205021257996005,0.8146834234890443,1.0067336360690045,1.0067336360690045,female,opposite_directions
OVERALL_ageSexMatched_fd-0.2,fd-0.2,adult_18_plus,PC,3,M3 DefaultMode,131,0.8387893150210834,0.009634095916817891,0.8399910551217938,0.8025863004246233,0.8550379523040148,113,0.8383431467842208,0.00939545650877892,0.8396920705110942,0.8145359933932069,0.8549573554439119,22,0.8390389503703276,0.007467591134110351,0.8414991766337142,0.8200725472426249,0.849139034325473,14,0.8447013446720099,0.005459564556457224,0.8452344952622252,0.8335786065440265,0.8519617826790655,0.046844787385247035,-0.8363323257579386,-0.8831771131431856,0.8831771131431856,female,opposite_directions
OVERALL_ageSexMatched_fd-0.2,fd-0.2,adult_18_plus,Z,5,M5 Visual-B,131,0.20522291831318418,0.15191736047351653,0.2261678909841009,-0.3194964155301235,0.5949859211857538,113,0.2177945287179007,0.1420074480347978,0.2178998115388611,-0.1616488797758473,0.5051640957851943,22,0.21990347153230774,0.19158417244549283,0.24715945068371298,-0.1984877875988718,0.5320912957823648,14,0.07719779501055467,0.21030038830502112,0.07922205509789605,-0.3909363062092266,0.3895740565398337,-0.0852811006410932,0.7172999852697115,0.8025810859108047,0.8025810859108047,female,opposite_directions
OVERALL_ageSexMatched_fd-0.2,fd-0.2,preteen_10_12,PC,7,M7 Limbic,122,0.8540542027485512,0.0035846187862770976,0.854249476239471,0.8436476797915065,0.8644655628619298,77,0.853665238696947,0.004482444726974658,0.8529098035547154,0.8431561271626793,0.8656477338616474,46,0.852084632498584,0.004545309692079782,0.8521734297110806,0.8412474143962926,0.861718178486288,14,0.8548508502197485,0.002743859411031909,0.8549210855415037,0.8506632911802336,0.8604340484693267,0.09834223226083802,-0.6571966411964082,-0.7555388734572462,0.7555388734572462,female,opposite_directions
OVERALL_ageSexMatched_fd-0.2,fd-0.2,adult_18_plus,PC,7,M7 Limbic,131,0.8537097960711971,0.004585492510163845,0.8540912426410853,0.8401610087912025,0.864850161836151,113,0.8522253579890862,0.004790838940989771,0.8528747125741207,0.8331208588543566,0.863166309515391,22,0.851267759874548,0.004103041789529777,0.851251807028639,0.8436236011783032,0.8570251078732412,14,0.8530378154186169,0.003967941957718183,0.8530588954392164,0.8441029552362673,0.8616231045901834,0.3170759267358299,-0.4368438819026819,-0.7539198086385118,0.7539198086385118,female,opposite_directions
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,Strength_neg,4,M4 DorsalAttention,70,7.827946804128338,4.893277292745938,6.657362871657824,1.0042799301445484,20.228922161157243,64,8.561586012275598,5.0756756995408265,8.185548057568667,0.6717045491095632,26.457402209052816,49,7.8278749146373565,4.30673976758962,7.030552416341379,0.9805149316089228,18.192332192789763,10,11.907888255060243,5.624454323939841,10.713853865658166,5.03693140600808,21.471585729043,-0.1472826761753815,-0.8986226370725249,-0.7513399608971434,0.7513399608971434,female,same_direction_stronger_in_female
OVERALL_ageSexMatched_fd-0.2,fd-0.2,teen_13_17,Z_pos,4,M4 DorsalAttention,126,0.18247333978957256,0.12173088473143431,0.16930748497025966,-0.08913003375590595,0.4797073395746846,106,0.14518553538036055,0.15865477557916485,0.14424013617782072,-0.27221083307258487,0.5370517213372625,42,0.16713116502114464,0.1380082935338529,0.1714382630876654,-0.12393989750482415,0.4613855567051569,18,0.22965633277329023,0.1126346026067688,0.2315047907262384,0.014456705358914801,0.45751795768843434,0.26671767699301924,-0.4769964180422716,-0.7437140950352908,0.7437140950352908,female,opposite_directions
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,PC_pos,4,M4 DorsalAttention,70,0.8283040339601868,0.016265779720918024,0.83153608525057,0.777519499520523,0.8491898455660536,64,0.82926472078002,0.01627600771788866,0.8308529355189758,0.7576198352667517,0.8512991845046775,49,0.8283169377636406,0.011810863073377758,0.8291773355403698,0.7945604820262019,0.8515575793369811,10,0.819324604579186,0.019416827120573545,0.8188780439339948,0.7841163277516771,0.8475654994098167,-0.059044113624885125,0.6759068291745893,0.7349509427994745,0.7349509427994745,female,opposite_directions
