gamma,runs_ok,failures,k7_frac,k_counts,stability_k7,Q_best_k7,min_size_best_k7,seed_best_k7
0.8,500,0,0.0,4:493; 5:7,0.0,,,
0.82,500,0,0.0,4:488; 5:12,0.0,,,
0.84,500,0,0.0,4:477; 5:23,0.0,,,
0.86,500,0,0.0,4:465; 5:35,0.0,,,
0.88,500,0,0.0,4:456; 5:44,0.0,,,
0.9,500,0,0.0,4:432; 5:68,0.0,,,
0.92,500,0,0.0,4:424; 5:76,0.0,,,
0.94,500,0,0.0,4:420; 5:80,0.0,,,
0.96,500,0,0.0,4:419; 5:81,0.0,,,
0.98,500,0,0.0,4:415; 5:85,0.0,,,
1.0,500,0,0.0,4:422; 5:78,0.0,,,
1.02,500,0,0.0,4:407; 5:93,0.0,,,
1.04,500,0,0.0,4:386; 5:114,0.0,,,
1.06,500,0,0.0,4:355; 5:145,0.0,,,
1.08,500,0,0.0,4:96; 5:404,0.0,,,
1.1,500,0,0.0,4:108; 5:392,0.0,,,
1.12,500,0,0.0,4:15; 5:485,0.0,,,
1.14,500,0,0.0,4:9; 5:488; 6:3,0.0,,,
1.16,500,0,0.0,4:10; 5:485; 6:5,0.0,,,
1.18,500,0,0.0,4:6; 5:471; 6:23,0.0,,,
1.2,500,0,0.0,4:6; 5:447; 6:47,0.0,,,
1.22,500,0,0.0,4:4; 5:441; 6:55,0.0,,,
1.24,500,0,0.0,4:3; 5:417; 6:80,0.0,,,
1.26,500,0,0.0,4:4; 5:330; 6:166,0.0,,,
1.28,500,0,0.0,4:2; 5:288; 6:210,0.0,,,
1.3,500,0,0.0,5:293; 6:207,0.0,,,
1.32,500,0,0.0,5:205; 6:295,0.0,,,
1.34,500,0,0.0,5:203; 6:297,0.0,,,
1.36,500,0,0.0,5:135; 6:365,0.0,,,
1.38,500,0,0.0,5:116; 6:384,0.0,,,
1.4,500,0,0.0,5:93; 6:407,0.0,,,
1.42,500,0,0.038,5:106; 6:375; 7:19,0.0,,,
1.44,500,0,0.044,5:114; 6:364; 7:22,0.0,,,
1.46,500,0,0.032,5:96; 6:388; 7:16,0.0,,,
1.48,500,0,0.046,5:110; 6:367; 7:23,0.0,,,
1.5,500,0,0.054,5:114; 6:359; 7:27,0.0,,,
1.52,500,0,0.066,5:144; 6:323; 7:33,0.9052261114120483,0.3981030099928711,13.0,189.0
1.54,500,0,0.088,5:111; 6:345; 7:44,0.8962562680244446,0.3952422973611419,11.0,386.0
1.56,500,0,0.094,5:100; 6:353; 7:47,0.8962562680244446,0.3924065307324056,11.0,386.0
1.58,500,0,0.11,5:95; 6:350; 7:55,0.8766360878944397,0.38957076410366953,11.0,386.0
1.6,500,0,0.24,5:75; 6:305; 7:120,0.8712261319160461,0.3850286230483514,16.0,189.0
1.62,500,0,0.176,5:42; 6:367; 7:88; 8:3,0.8717043399810791,0.38483286788008214,13.0,386.0
1.64,500,0,0.234,5:21; 6:357; 7:117; 8:5,0.8964146971702576,0.38215182609554965,11.0,44.0
1.66,500,0,0.25,5:14; 6:358; 7:125; 8:3,0.885410726070404,0.37935851308998747,11.0,232.0
1.68,500,0,0.276,5:14; 6:339; 7:138; 8:9,0.8883923292160034,0.3766333490647546,10.0,342.0
1.7,500,0,0.39,5:10; 6:282; 7:195; 8:13,0.8857381939888,0.3738874980674099,10.0,342.0
1.72,500,0,0.452,5:3; 6:251; 7:226; 8:20,0.8764751553535461,0.3712375911138238,13.0,308.0
1.74,500,0,0.456,6:241; 7:228; 8:31,0.8769646883010864,0.3687506439142415,10.0,222.0
1.76,500,0,0.548,6:169; 7:274; 8:57,0.8725202679634094,0.36564994507537574,10.0,508.0
1.78,500,0,0.55,6:156; 7:275; 8:69,0.8690908551216125,0.36290409407803104,10.0,508.0
1.8,500,0,0.548,6:134; 7:274; 8:92,0.8723125457763672,0.3600769555797808,14.0,362.0
1.82,500,0,0.57,6:112; 7:285; 8:101; 9:1; 10:1,0.8784571290016174,0.3572926440261339,13.0,468.0
1.84,500,0,0.532,6:98; 7:266; 8:131; 9:4; 10:1,0.8848482966423035,0.35458649610750137,13.0,468.0
1.86,500,0,0.566,6:76; 7:283; 8:134; 9:6; 10:1,0.8849960565567017,0.3517247937059238,12.0,410.0
1.88,500,0,0.51,6:57; 7:255; 8:178; 9:10,0.8696950674057007,0.3490602649488477,12.0,410.0
1.9,500,0,0.434,6:42; 7:217; 8:225; 9:16,0.8706973195075989,0.3460127712704016,16.0,202.0
1.92,500,0,0.42,6:36; 7:210; 8:229; 9:25,0.8660106658935547,0.3437475457053921,16.0,282.0
1.94,500,0,0.356,6:41; 7:178; 8:242; 9:39,0.8601171374320984,0.3412094138945297,16.0,202.0
1.96,500,0,0.38,6:26; 7:190; 8:218; 9:66,0.8633902668952942,0.33880773520659374,16.0,202.0
1.98,500,0,0.36,6:19; 7:180; 8:217; 9:84,0.8674803376197815,0.3364088955506855,16.0,202.0
2.0,500,0,0.328,6:11; 7:164; 8:253; 9:72,0.8740495443344116,0.3344195983137126,16.0,497.0
