ROI_index	Module
1	2
2	6
3	2
4	7
5	6
6	7
7	6
8	7
9	4
10	4
11	6
12	6
13	7
14	6
15	1
16	2
17	5
18	7
19	2
20	1
21	7
22	6
23	5
24	7
25	5
26	2
27	3
28	7
29	6
30	3
31	2
32	6
33	7
34	5
35	7
36	4
37	3
38	6
39	6
40	6
41	4
42	6
43	3
44	2
45	1
46	6
47	1
48	3
49	6
50	7
51	6
52	4
53	6
54	2
55	7
56	6
57	6
58	6
59	7
60	7
61	6
62	3
63	2
64	5
65	7
66	7
67	7
68	3
69	1
70	2
71	6
72	6
73	5
74	6
75	6
76	6
77	4
78	3
79	7
80	4
81	2
82	6
83	7
84	1
85	2
86	4
87	3
88	7
89	2
90	7
91	6
92	3
93	5
94	1
95	6
96	7
97	2
98	7
99	6
100	2
101	6
102	2
103	4
104	6
105	2
106	6
107	6
108	2
109	6
110	3
111	7
112	3
113	6
114	2
115	5
116	7
117	1
118	4
119	7
120	4
121	7
122	3
123	7
124	6
125	1
126	4
127	6
128	7
129	3
130	3
131	2
132	2
133	6
134	7
135	1
136	2
137	7
138	2
139	6
140	6
141	1
142	2
143	2
144	1
145	3
146	7
147	2
148	1
149	6
150	2
151	5
152	4
153	6
154	7
155	3
156	5
157	7
158	2
159	2
160	6
161	7
162	4
163	2
164	5
165	7
166	6
167	6
168	1
169	6
170	2
171	7
172	2
173	6
174	6
175	2
176	4
177	2
178	7
179	2
180	7
181	3
182	7
183	6
184	7
185	7
186	6
187	6
188	7
189	2
190	3
191	6
192	4
193	6
194	3
195	2
196	1
197	2
198	3
199	3
200	7
