ROI_index,Louvain_module,Yeo7_label,Yeo7_name
1,2,1,Visual
2,6,7,DefaultMode
3,2,1,Visual
4,7,4,VentralAttention
5,6,7,DefaultMode
6,7,4,VentralAttention
7,6,6,Frontoparietal
8,7,2,Somatomotor
9,4,0,Background
10,4,1,Visual
11,6,7,DefaultMode
12,6,6,Frontoparietal
13,7,4,VentralAttention
14,6,7,DefaultMode
15,1,5,Limbic
16,2,3,DorsalAttention
17,5,3,DorsalAttention
18,7,0,Background
19,2,7,DefaultMode
20,1,4,VentralAttention
21,7,2,Somatomotor
22,6,7,DefaultMode
23,5,6,Frontoparietal
24,7,2,Somatomotor
25,5,6,Frontoparietal
26,2,1,Visual
27,3,5,Limbic
28,7,2,Somatomotor
29,6,7,DefaultMode
30,3,0,Background
31,2,3,DorsalAttention
32,6,5,Limbic
33,7,4,VentralAttention
34,5,6,Frontoparietal
35,7,2,Somatomotor
36,4,3,DorsalAttention
37,3,1,Visual
38,6,6,Frontoparietal
39,6,6,Frontoparietal
40,6,6,Frontoparietal
41,4,1,Visual
42,6,6,Frontoparietal
43,3,5,Limbic
44,2,1,Visual
45,1,0,Background
46,6,7,DefaultMode
47,1,5,Limbic
48,3,1,Visual
49,6,7,DefaultMode
50,7,3,DorsalAttention
51,6,7,DefaultMode
52,4,0,Background
53,6,7,DefaultMode
54,2,1,Visual
55,7,4,VentralAttention
56,6,7,DefaultMode
57,6,5,Limbic
58,6,7,DefaultMode
59,7,4,VentralAttention
60,7,2,Somatomotor
61,6,7,DefaultMode
62,3,1,Visual
63,2,3,DorsalAttention
64,5,3,DorsalAttention
65,7,2,Somatomotor
66,7,2,Somatomotor
67,7,4,VentralAttention
68,3,0,Background
69,1,4,VentralAttention
70,2,1,Visual
71,6,7,DefaultMode
72,6,7,DefaultMode
73,5,3,DorsalAttention
74,6,7,DefaultMode
75,6,6,Frontoparietal
76,6,4,VentralAttention
77,4,1,Visual
78,3,5,Limbic
79,7,4,VentralAttention
80,4,0,Background
81,2,1,Visual
82,6,7,DefaultMode
83,7,4,VentralAttention
84,1,0,Background
85,2,1,Visual
86,4,0,Background
87,3,5,Limbic
88,7,2,Somatomotor
89,2,1,Visual
90,7,2,Somatomotor
91,6,7,DefaultMode
92,3,5,Limbic
93,5,3,DorsalAttention
94,1,0,Background
95,6,6,Frontoparietal
96,7,2,Somatomotor
97,2,1,Visual
98,7,2,Somatomotor
99,6,6,Frontoparietal
100,2,3,DorsalAttention
101,6,7,DefaultMode
102,2,1,Visual
103,4,1,Visual
104,6,7,DefaultMode
105,2,1,Visual
106,6,7,DefaultMode
107,6,7,DefaultMode
108,2,1,Visual
109,6,7,DefaultMode
110,3,5,Limbic
111,7,2,Somatomotor
112,3,5,Limbic
113,6,6,Frontoparietal
114,2,3,DorsalAttention
115,5,6,Frontoparietal
116,7,3,DorsalAttention
117,1,7,DefaultMode
118,4,1,Visual
119,7,4,VentralAttention
120,4,1,Visual
121,7,2,Somatomotor
122,3,1,Visual
123,7,2,Somatomotor
124,6,6,Frontoparietal
125,1,4,VentralAttention
126,4,1,Visual
127,6,6,Frontoparietal
128,7,4,VentralAttention
129,3,7,DefaultMode
130,3,0,Background
131,2,1,Visual
132,2,3,DorsalAttention
133,6,7,DefaultMode
134,7,2,Somatomotor
135,1,0,Background
136,2,3,DorsalAttention
137,7,4,VentralAttention
138,2,1,Visual
139,6,7,DefaultMode
140,6,7,DefaultMode
141,1,7,DefaultMode
142,2,1,Visual
143,2,3,DorsalAttention
144,1,7,DefaultMode
145,3,5,Limbic
146,7,2,Somatomotor
147,2,1,Visual
148,1,0,Background
149,6,6,Frontoparietal
150,2,1,Visual
151,5,6,Frontoparietal
152,4,1,Visual
153,6,7,DefaultMode
154,7,2,Somatomotor
155,3,5,Limbic
156,5,3,DorsalAttention
157,7,2,Somatomotor
158,2,1,Visual
159,2,1,Visual
160,6,5,Limbic
161,7,4,VentralAttention
162,4,1,Visual
163,2,3,DorsalAttention
164,5,6,Frontoparietal
165,7,4,VentralAttention
166,6,7,DefaultMode
167,6,7,DefaultMode
168,1,4,VentralAttention
169,6,6,Frontoparietal
170,2,1,Visual
171,7,3,DorsalAttention
172,2,1,Visual
173,6,7,DefaultMode
174,6,7,DefaultMode
175,2,1,Visual
176,4,0,Background
177,2,1,Visual
178,7,0,Background
179,2,1,Visual
180,7,4,VentralAttention
181,3,7,DefaultMode
182,7,4,VentralAttention
183,6,6,Frontoparietal
184,7,4,VentralAttention
185,7,2,Somatomotor
186,6,7,DefaultMode
187,6,7,DefaultMode
188,7,3,DorsalAttention
189,2,1,Visual
190,3,1,Visual
191,6,7,DefaultMode
192,4,1,Visual
193,6,7,DefaultMode
194,3,0,Background
195,2,1,Visual
196,1,7,DefaultMode
197,2,3,DorsalAttention
198,3,5,Limbic
199,3,7,DefaultMode
200,7,2,Somatomotor
