scenario,mapping_threshold,age_group,sex,metric,module,module_label,n_CTL,mean_CTL,sd_CTL,median_CTL,min_CTL,max_CTL,n_ASD,mean_ASD,sd_ASD,median_ASD,min_ASD,max_ASD,cohens_d_CTL_minus_ASD,abs_d
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,female,Strength_neg,2,M2 Visual-A,49,9.09592797588978,4.228246171705924,9.356282884255052,2.0172903191123623,19.31626642891206,10,13.779111056464899,3.7531704319800268,13.834709776638192,9.289998899330385,17.87039557781827,-1.1266194884031797,1.1266194884031797
OVERALL_ageSexMatched_fd-0.3,fd-0.3,adult_18_plus,female,Z,1,M1 Somatomotor,23,0.20716616859093567,0.1631790138143922,0.2239973636313087,-0.1830153077773966,0.4547204190578927,15,-0.010366425012449576,0.2687955633503635,-0.0230533998227509,-0.5934194706347401,0.3728974398004077,1.0327138045429225,1.0327138045429225
OVERALL_ageSexMatched_fd-0.2,fd-0.2,adult_18_plus,female,Z,1,M1 Somatomotor,22,0.2107952722171276,0.1660663053413175,0.2246741174167321,-0.1830153077773966,0.4547204190578927,14,-0.005525735876506835,0.27826301770647394,0.025766847142153652,-0.5934194706347401,0.3728974398004077,1.0016666435692057,1.0016666435692057
OVERALL_ageSexMatched_fd-0.3,fd-0.3,child_0_9,female,PC,7,M7 DefaultMode,57,0.8381882667391611,0.0094363973965165,0.8397124406404317,0.8062546662327444,0.8514693013332271,20,0.8461850942525558,0.006417902510346911,0.84727402903366,0.8300718090474011,0.854423268394395,-0.9117847390443717,0.9117847390443717
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,female,Strength_neg,4,M4 DorsalAttention,49,7.8278749146373565,4.30673976758962,7.030552416341379,0.9805149316089228,18.192332192789763,10,11.907888255060243,5.624454323939841,10.713853865658166,5.03693140600808,21.471585729043,-0.8986226370725249,0.8986226370725249
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,female,Strength_neg,6,M6 Frontoparietal,49,8.249478027926532,4.482286534849066,7.404080847278237,1.217662856914103,17.659530723365606,10,12.447105048228696,6.1975861145428395,11.09381158708129,5.359567580395378,23.32240224722773,-0.8755818644308709,0.8755818644308709
OVERALL_ageSexMatched_fd-0.3,fd-0.3,adult_18_plus,female,Z_pos,1,M1 Somatomotor,23,0.1996782238414583,0.16397154825276625,0.2087640828538294,-0.213996959592675,0.4559894529254543,15,0.024807076030476664,0.2596809937097619,-0.039467801969109,-0.5934194706347401,0.3728974398004077,0.8467054821879068,0.8467054821879068
OVERALL_ageSexMatched_fd-0.2,fd-0.2,adult_18_plus,female,PC,3,M3 DefaultMode,22,0.8390389503703276,0.007467591134110351,0.8414991766337142,0.8200725472426249,0.849139034325473,14,0.8447013446720099,0.005459564556457224,0.8452344952622252,0.8335786065440265,0.8519617826790655,-0.8363323257579386,0.8363323257579386
OVERALL_ageSexMatched_fd-0.2,fd-0.2,adult_18_plus,female,Z_pos,1,M1 Somatomotor,22,0.20296696634267394,0.16705201662355357,0.21720406664568004,-0.213996959592675,0.4559894529254543,14,0.03052884533893899,0.26850067234885117,0.022819369333594804,-0.5934194706347401,0.3728974398004077,0.8146834234890443,0.8146834234890443
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,female,PC,1,M1 Somatomotor,49,0.8489350447104931,0.006069163871434179,0.8486496287799677,0.8337534223428903,0.8615017463587005,10,0.8539169318331089,0.007145347591300559,0.8559405773852822,0.8447625873863273,0.8623339185794353,-0.7969213139382226,0.7969213139382226
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,female,Strength_neg,8,M8 VentralAttention,49,9.215056577185555,5.183970851867276,8.645656806933403,1.3241472500376403,24.11588168796152,10,13.263654186547502,4.709790469566389,12.266924749012103,8.533062533533666,21.52662242203951,-0.7919752773954976,0.7919752773954976
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,female,PC,3,M3 DefaultMode,49,0.8367914898932318,0.009800944931125708,0.8386885993239346,0.8063090333053547,0.8507305992348211,10,0.8443658585625474,0.00828358535249924,0.8446456925710619,0.8288618077715667,0.8542784370091846,-0.790862070814179,0.790862070814179
OVERALL_ageSexMatched_fd-0.3,fd-0.3,child_0_9,female,PC,1,M1 Somatomotor,57,0.8501215074386022,0.005582060500218518,0.8507902721965652,0.8361267286911425,0.8614689335359184,20,0.8543383458927046,0.006203717491505073,0.8556053682389195,0.8407791690406854,0.8623487832294692,-0.7338850262984503,0.7338850262984503
OVERALL_ageSexMatched_fd-0.3,fd-0.3,child_0_9,female,PC,4,M4 Frontoparietal,57,0.8421953239563816,0.005654735444624562,0.8433168132011062,0.8271196528276277,0.8509832361417934,20,0.8460504295860062,0.004369042326761709,0.8449616367360893,0.8392428215101776,0.8535195814832992,-0.7194665660781046,0.7194665660781046
OVERALL_ageSexMatched_fd-0.2,fd-0.2,adult_18_plus,female,Z,5,M5 Visual-B,22,0.21990347153230774,0.19158417244549283,0.24715945068371298,-0.1984877875988718,0.5320912957823648,14,0.07719779501055467,0.21030038830502112,0.07922205509789605,-0.3909363062092266,0.3895740565398337,0.7172999852697115,0.7172999852697115
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,female,Strength_neg,7,M7 Limbic,49,12.055200419885889,6.071378442322819,11.29973134212196,2.010565641336143,30.49546672683209,10,16.43922758694098,7.243650704984948,14.65699609555304,7.465716824866831,28.44655493460596,-0.6990887308096786,0.6990887308096786
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,female,PC,6,M6 Frontoparietal,49,0.8414747915009837,0.005736660058188237,0.8417046617709953,0.8262931373372551,0.8501642088266026,10,0.8452874986967973,0.004606572906595159,0.8460053311322387,0.8380712186917745,0.8527421697701278,-0.684080217840075,0.684080217840075
OVERALL_ageSexMatched_fd-0.3,fd-0.3,child_0_9,female,Strength_neg,2,M2 Visual-A,57,9.62580561931035,4.66647495494396,9.424312211078359,2.0172903191123623,21.691285476088524,20,12.850027228174076,4.974541493946704,12.494588474233751,4.202527439629193,24.646982127451338,-0.6792969094677501,0.6792969094677501
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,female,PC_pos,4,M4 DorsalAttention,49,0.8283169377636406,0.011810863073377758,0.8291773355403698,0.7945604820262019,0.8515575793369811,10,0.819324604579186,0.019416827120573545,0.8188780439339948,0.7841163277516771,0.8475654994098167,0.6759068291745893,0.6759068291745893
OVERALL_ageSexMatched_fd-0.2,fd-0.2,preteen_10_12,female,PC,7,M7 Limbic,46,0.852084632498584,0.004545309692079782,0.8521734297110806,0.8412474143962926,0.861718178486288,14,0.8548508502197485,0.002743859411031909,0.8549210855415037,0.8506632911802336,0.8604340484693267,-0.6571966411964082,0.6571966411964082
OVERALL_ageSexMatched_fd-0.2,fd-0.2,adult_18_plus,female,PC_neg,3,M3 DefaultMode,22,0.7566040631110469,0.03670981976449857,0.7614484510067179,0.6872803673182524,0.8201522612203708,14,0.7799848435412562,0.03402242458501241,0.78866648256882,0.7214741779958308,0.8335230747040818,-0.6548105115328793,0.6548105115328793
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,female,Strength_neg,5,M5 Visual-B,49,9.755815007691014,6.099999769430286,8.178099910495803,1.461618758738041,20.838655307888985,10,14.154626235875913,9.380672926806769,12.325942474068142,5.364682768471539,38.5102366847932,-0.6540739080315177,0.6540739080315177
OVERALL_ageSexMatched_fd-0.2,fd-0.2,adult_18_plus,female,Z_pos,5,M5 Visual-B,22,0.20698267414706234,0.1705994348142301,0.24776311501631354,-0.1761887630527772,0.5044995700298142,14,0.09139478056762299,0.18936685118372,0.11134506059788706,-0.3052499722627666,0.3122857885250765,0.6493373485954012,0.6493373485954012
OVERALL_ageSexMatched_fd-0.3,fd-0.3,adult_18_plus,female,Z,6,M6 Visual-B,23,0.22159239545747597,0.18735451865875266,0.2508225299230505,-0.1984877875988718,0.5320912957823648,15,0.09550906068036277,0.2147015882179789,0.1090293402536523,-0.3909363062092266,0.3895740565398337,0.6353795399895683,0.6353795399895683
OVERALL_ageSexMatched_fd-0.3,fd-0.3,child_0_9,female,PC,3,M3 Limbic,57,0.8531771682532252,0.0036158156604204424,0.8537953805813681,0.8444425621532371,0.8609894396622507,20,0.8555380479010228,0.004390686565331179,0.8561822978219031,0.8462809037669176,0.8635163092337277,-0.6169035007256166,0.6169035007256166
OVERALL_ageSexMatched_fd-0.3,fd-0.3,teen_13_17,female,PC_neg,1,M1 Somatomotor,46,0.7207157776526664,0.07051767296178936,0.7359357858351948,0.4509094590505769,0.8096170152815818,18,0.6532996743485541,0.17687187598597273,0.7164301007105445,0.0,0.7855119904632322,0.6106815131800613,0.6106815131800613
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,female,Strength_pos,4,M4 DorsalAttention,49,50.38801226227567,15.787701921948134,48.22455421369523,26.916980422101915,99.82518213381991,10,41.33783514916795,8.604869500924828,39.126604256576684,28.33252192568034,54.520172559852654,0.607973699856905,0.607973699856905
OVERALL_ageSexMatched_fd-0.3,fd-0.3,adult_18_plus,female,PC,7,M7 DefaultMode,23,0.8401908353801012,0.007957918333629025,0.8425826840049488,0.820533258470742,0.8541442025365642,15,0.8444531232706435,0.00568706162975974,0.845517143586675,0.8335807836070805,0.852095753671712,-0.5952171102978099,0.5952171102978099
OVERALL_ageSexMatched_fd-0.2,fd-0.2,teen_13_17,female,PC_neg,1,M1 Somatomotor,42,0.7266995466090553,0.0696419186171052,0.7428988563071053,0.4509094590505769,0.8096170152815818,18,0.6603144525343501,0.17713203406102973,0.7231955863634232,0.0,0.7854436351659467,0.5908245259406493,0.5908245259406493
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,female,Strength_neg,1,M1 Somatomotor,49,7.352925902547473,4.291095251700049,7.290723595884629,1.0268506035208702,18.819238649623003,10,10.08992390393978,6.17511400126289,8.510010470752604,3.5963758938014507,21.847628059214912,-0.5899065473598315,0.5899065473598315
OVERALL_ageSexMatched_fd-0.2,fd-0.2,teen_13_17,female,PC_neg,7,M7 Limbic,42,0.7560744762579417,0.04070069178552056,0.767661722343524,0.6501837663937884,0.8143718077912333,18,0.6949968176714026,0.18219948636717442,0.7472082888979235,0.0,0.8139839201979766,0.5849894167560028,0.5849894167560028
OVERALL_ageSexMatched_fd-0.3,fd-0.3,teen_13_17,female,PC_neg,3,M3 Limbic,46,0.7506558175844453,0.04544714306309434,0.7564987570503003,0.6202415953483266,0.8140817287626363,18,0.6909867615689353,0.18190974153402062,0.735777359818653,0.0,0.8139839201979766,0.5803105563273463,0.5803105563273463
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,female,Z_neg,4,M4 DorsalAttention,49,-0.3788374283711524,0.17189295141496397,-0.4415080135642193,-0.6556375504886551,0.0,10,-0.2866360181127838,0.057662602853220425,-0.29892646899770026,-0.35209671374471596,-0.16502749561543145,-0.5784452480005938,0.5784452480005938
OVERALL_ageSexMatched_fd-0.3,fd-0.3,child_0_9,female,Strength_neg,4,M4 Frontoparietal,57,8.319773559000751,4.46226176772535,7.404080847278237,1.217662856914103,18.81747064460069,20,11.010378990695244,5.271779341362834,9.151267539244145,4.691471732628997,23.32240224722773,-0.5748420018076654,0.5748420018076654
OVERALL_ageSexMatched_fd-0.2,fd-0.2,child_0_9,female,Z_pos,8,M8 VentralAttention,49,0.17563660676046347,0.13785846556206413,0.1792062734482014,-0.1688421342541071,0.4972347149107306,10,0.09704877935998978,0.13406618230960893,0.0748804400085096,-0.0786884061242122,0.3207019725293913,0.5725194553508357,0.5725194553508357
OVERALL_ageSexMatched_fd-0.3,fd-0.3,adult_18_plus,female,Z_pos,6,M6 Visual-B,23,0.20923337187158905,0.1670262260711701,0.2520298585882516,-0.1761887630527772,0.5044995700298142,15,0.10885604400023731,0.1946068486523067,0.1126931845651906,-0.3052499722627666,0.3533137320568377,0.5630956428386908,0.5630956428386908
