ROI_index	Module
1	6
2	2
3	6
4	1
5	2
6	4
7	2
8	1
9	5
10	5
11	2
12	2
13	1
14	2
15	3
16	6
17	4
18	1
19	6
20	3
21	1
22	2
23	4
24	1
25	4
26	6
27	7
28	1
29	2
30	5
31	4
32	2
33	1
34	4
35	1
36	5
37	7
38	2
39	2
40	2
41	5
42	2
43	2
44	6
45	3
46	2
47	3
48	6
49	2
50	4
51	2
52	5
53	2
54	6
55	1
56	2
57	2
58	2
59	1
60	1
61	2
62	7
63	6
64	4
65	1
66	1
67	1
68	5
69	2
70	6
71	2
72	2
73	4
74	2
75	2
76	2
77	5
78	2
79	1
80	5
81	6
82	2
83	1
84	3
85	6
86	5
87	7
88	1
89	6
90	1
91	2
92	7
93	4
94	3
95	4
96	1
97	6
98	1
99	4
100	6
101	2
102	6
103	5
104	2
105	6
106	2
107	2
108	6
109	2
110	7
111	1
112	7
113	2
114	4
115	4
116	1
117	2
118	5
119	1
120	5
121	1
122	6
123	1
124	2
125	3
126	5
127	2
128	1
129	7
130	7
131	6
132	4
133	2
134	1
135	3
136	4
137	1
138	6
139	2
140	2
141	3
142	6
143	6
144	3
145	7
146	1
147	6
148	3
149	2
150	6
151	4
152	5
153	2
154	1
155	7
156	4
157	1
158	6
159	6
160	2
161	1
162	5
163	4
164	4
165	1
166	2
167	2
168	3
169	2
170	6
171	4
172	6
173	2
174	2
175	6
176	5
177	6
178	1
179	6
180	1
181	2
182	1
183	2
184	1
185	1
186	2
187	2
188	1
189	6
190	5
191	2
192	5
193	2
194	5
195	6
196	3
197	4
198	7
199	5
200	1
