ROI_index,Louvain_module,Yeo7_label,Yeo7_name
1,6,1,Visual
2,2,7,DefaultMode
3,6,1,Visual
4,1,4,VentralAttention
5,2,7,DefaultMode
6,4,4,VentralAttention
7,2,6,Frontoparietal
8,1,2,Somatomotor
9,5,0,Background
10,5,1,Visual
11,2,7,DefaultMode
12,2,6,Frontoparietal
13,1,4,VentralAttention
14,2,7,DefaultMode
15,3,5,Limbic
16,6,3,DorsalAttention
17,4,3,DorsalAttention
18,1,0,Background
19,6,7,DefaultMode
20,3,4,VentralAttention
21,1,2,Somatomotor
22,2,7,DefaultMode
23,4,6,Frontoparietal
24,1,2,Somatomotor
25,4,6,Frontoparietal
26,6,1,Visual
27,7,5,Limbic
28,1,2,Somatomotor
29,2,7,DefaultMode
30,5,0,Background
31,4,3,DorsalAttention
32,2,5,Limbic
33,1,4,VentralAttention
34,4,6,Frontoparietal
35,1,2,Somatomotor
36,5,3,DorsalAttention
37,7,1,Visual
38,2,6,Frontoparietal
39,2,6,Frontoparietal
40,2,6,Frontoparietal
41,5,1,Visual
42,2,6,Frontoparietal
43,2,5,Limbic
44,6,1,Visual
45,3,0,Background
46,2,7,DefaultMode
47,3,5,Limbic
48,6,1,Visual
49,2,7,DefaultMode
50,4,3,DorsalAttention
51,2,7,DefaultMode
52,5,0,Background
53,2,7,DefaultMode
54,6,1,Visual
55,1,4,VentralAttention
56,2,7,DefaultMode
57,2,5,Limbic
58,2,7,DefaultMode
59,1,4,VentralAttention
60,1,2,Somatomotor
61,2,7,DefaultMode
62,7,1,Visual
63,6,3,DorsalAttention
64,4,3,DorsalAttention
65,1,2,Somatomotor
66,1,2,Somatomotor
67,1,4,VentralAttention
68,5,0,Background
69,2,4,VentralAttention
70,6,1,Visual
71,2,7,DefaultMode
72,2,7,DefaultMode
73,4,3,DorsalAttention
74,2,7,DefaultMode
75,2,6,Frontoparietal
76,2,4,VentralAttention
77,5,1,Visual
78,2,5,Limbic
79,1,4,VentralAttention
80,5,0,Background
81,6,1,Visual
82,2,7,DefaultMode
83,1,4,VentralAttention
84,3,0,Background
85,6,1,Visual
86,5,0,Background
87,7,5,Limbic
88,1,2,Somatomotor
89,6,1,Visual
90,1,2,Somatomotor
91,2,7,DefaultMode
92,7,5,Limbic
93,4,3,DorsalAttention
94,3,0,Background
95,4,6,Frontoparietal
96,1,2,Somatomotor
97,6,1,Visual
98,1,2,Somatomotor
99,4,6,Frontoparietal
100,6,3,DorsalAttention
101,2,7,DefaultMode
102,6,1,Visual
103,5,1,Visual
104,2,7,DefaultMode
105,6,1,Visual
106,2,7,DefaultMode
107,2,7,DefaultMode
108,6,1,Visual
109,2,7,DefaultMode
110,7,5,Limbic
111,1,2,Somatomotor
112,7,5,Limbic
113,2,6,Frontoparietal
114,4,3,DorsalAttention
115,4,6,Frontoparietal
116,1,3,DorsalAttention
117,2,7,DefaultMode
118,5,1,Visual
119,1,4,VentralAttention
120,5,1,Visual
121,1,2,Somatomotor
122,6,1,Visual
123,1,2,Somatomotor
124,2,6,Frontoparietal
125,3,4,VentralAttention
126,5,1,Visual
127,2,6,Frontoparietal
128,1,4,VentralAttention
129,7,7,DefaultMode
130,7,0,Background
131,6,1,Visual
132,4,3,DorsalAttention
133,2,7,DefaultMode
134,1,2,Somatomotor
135,3,0,Background
136,4,3,DorsalAttention
137,1,4,VentralAttention
138,6,1,Visual
139,2,7,DefaultMode
140,2,7,DefaultMode
141,3,7,DefaultMode
142,6,1,Visual
143,6,3,DorsalAttention
144,3,7,DefaultMode
145,7,5,Limbic
146,1,2,Somatomotor
147,6,1,Visual
148,3,0,Background
149,2,6,Frontoparietal
150,6,1,Visual
151,4,6,Frontoparietal
152,5,1,Visual
153,2,7,DefaultMode
154,1,2,Somatomotor
155,7,5,Limbic
156,4,3,DorsalAttention
157,1,2,Somatomotor
158,6,1,Visual
159,6,1,Visual
160,2,5,Limbic
161,1,4,VentralAttention
162,5,1,Visual
163,4,3,DorsalAttention
164,4,6,Frontoparietal
165,1,4,VentralAttention
166,2,7,DefaultMode
167,2,7,DefaultMode
168,3,4,VentralAttention
169,2,6,Frontoparietal
170,6,1,Visual
171,4,3,DorsalAttention
172,6,1,Visual
173,2,7,DefaultMode
174,2,7,DefaultMode
175,6,1,Visual
176,5,0,Background
177,6,1,Visual
178,1,0,Background
179,6,1,Visual
180,1,4,VentralAttention
181,2,7,DefaultMode
182,1,4,VentralAttention
183,2,6,Frontoparietal
184,1,4,VentralAttention
185,1,2,Somatomotor
186,2,7,DefaultMode
187,2,7,DefaultMode
188,1,3,DorsalAttention
189,6,1,Visual
190,5,1,Visual
191,2,7,DefaultMode
192,5,1,Visual
193,2,7,DefaultMode
194,5,0,Background
195,6,1,Visual
196,3,7,DefaultMode
197,4,3,DorsalAttention
198,7,5,Limbic
199,5,7,DefaultMode
200,1,2,Somatomotor
