gamma,runs_ok,failures,k7_frac,k_counts,stability_k7,Q_best_k7,min_size_best_k7,seed_best_k7
0.8,500,0,0.0,3:1; 4:494; 5:5,0.0,,,
0.82,500,0,0.0,3:1; 4:492; 5:7,0.0,,,
0.84,500,0,0.0,4:481; 5:19,0.0,,,
0.86,500,0,0.0,4:480; 5:20,0.0,,,
0.88,500,0,0.0,4:461; 5:39,0.0,,,
0.9,500,0,0.0,4:447; 5:53,0.0,,,
0.92,500,0,0.0,4:440; 5:60,0.0,,,
0.94,500,0,0.0,4:424; 5:76,0.0,,,
0.96,500,0,0.0,4:421; 5:79,0.0,,,
0.98,500,0,0.0,4:427; 5:73,0.0,,,
1.0,500,0,0.0,4:423; 5:77,0.0,,,
1.02,500,0,0.0,4:410; 5:90,0.0,,,
1.04,500,0,0.0,4:389; 5:111,0.0,,,
1.06,500,0,0.0,4:368; 5:132,0.0,,,
1.08,500,0,0.0,4:359; 5:141,0.0,,,
1.1,500,0,0.0,4:351; 5:149,0.0,,,
1.12,500,0,0.0,4:354; 5:146,0.0,,,
1.14,500,0,0.0,4:215; 5:285,0.0,,,
1.16,500,0,0.0,4:197; 5:303,0.0,,,
1.18,500,0,0.0,4:13; 5:487,0.0,,,
1.2,500,0,0.0,4:7; 5:493,0.0,,,
1.22,500,0,0.0,4:2; 5:497; 6:1,0.0,,,
1.24,500,0,0.0,4:3; 5:496; 6:1,0.0,,,
1.26,500,0,0.0,4:4; 5:494; 6:2,0.0,,,
1.28,500,0,0.0,4:5; 5:492; 6:3,0.0,,,
1.3,500,0,0.0,4:4; 5:480; 6:16,0.0,,,
1.32,500,0,0.0,4:4; 5:481; 6:15,0.0,,,
1.34,500,0,0.0,4:4; 5:408; 6:88,0.0,,,
1.36,500,0,0.0,4:2; 5:347; 6:151,0.0,,,
1.38,500,0,0.0,4:1; 5:352; 6:147,0.0,,,
1.4,500,0,0.0,5:357; 6:143,0.0,,,
1.42,500,0,0.0,5:141; 6:359,0.0,,,
1.44,500,0,0.0,5:105; 6:395,0.0,,,
1.46,500,0,0.006,5:196; 6:301; 7:3,0.0,,,
1.48,500,0,0.03,5:145; 6:340; 7:15,1.0,0.3966195109519385,16.0,113.0
1.5,500,0,0.028,5:150; 6:336; 7:14,1.0,0.39404897620390117,16.0,113.0
1.52,500,0,0.048,5:129; 6:347; 7:24,1.0,0.39147844145586397,16.0,113.0
1.54,500,0,0.056,5:66; 6:406; 7:28,0.0,,,
1.56,500,0,0.084,5:97; 6:361; 7:42,0.8981155753135681,0.39391222952656263,11.0,386.0
1.58,500,0,0.094,5:10; 6:443; 7:47,0.8862612843513489,0.3911259579674906,11.0,386.0
1.6,500,0,0.136,5:6; 6:426; 7:68,0.8947558403015137,0.38834688300003467,11.0,386.0
1.62,500,0,0.152,5:6; 6:418; 7:76,0.8929219841957092,0.38580764823750285,13.0,86.0
1.64,500,0,0.21,5:5; 6:382; 7:105; 8:8,0.897936224937439,0.3828058806190585,11.0,386.0
1.66,500,0,0.282,5:7; 6:343; 7:141; 8:9,0.8977862000465393,0.3801121556286844,13.0,502.0
1.68,500,0,0.352,5:2; 6:306; 7:176; 8:16,0.8865489959716797,0.3774512778896144,11.0,134.0
1.7,500,0,0.394,5:3; 6:275; 7:197; 8:25,0.8830626606941223,0.37459343545576484,11.0,134.0
1.72,500,0,0.498,5:1; 6:209; 7:249; 8:41,0.8812010288238525,0.37196042735648727,13.0,386.0
1.74,500,0,0.486,5:1; 6:188; 7:243; 8:68,0.874488353729248,0.36924318459908817,13.0,386.0
1.76,500,0,0.526,6:112; 7:263; 8:119; 9:6,0.8884824514389038,0.3665259418416892,13.0,366.0
1.78,500,0,0.522,5:1; 6:97; 7:261; 8:130; 9:11,0.8814672827720642,0.36380869908429014,13.0,366.0
1.8,500,0,0.488,5:1; 6:80; 7:244; 8:162; 9:13,0.8872612714767456,0.36090866066725075,15.0,86.0
1.82,500,0,0.462,6:85; 7:231; 8:176; 9:8,0.8773267865180969,0.35795156553538343,13.0,362.0
1.84,500,0,0.496,6:70; 7:248; 8:167; 9:15,0.8690292239189148,0.3549765215966936,11.0,410.0
1.86,500,0,0.456,6:56; 7:228; 8:196; 9:20,0.8725825548171997,0.3522394293797515,11.0,410.0
1.88,500,0,0.378,5:1; 6:32; 7:189; 8:238; 9:40,0.8656073808670044,0.35114501877969667,14.0,332.0
1.9,500,0,0.284,6:23; 7:142; 8:264; 9:71,0.8591740727424622,0.34841213577376784,14.0,455.0
1.92,500,0,0.246,6:29; 7:123; 8:269; 9:78; 10:1,0.8644437193870544,0.34370519081738754,15.0,498.0
1.94,500,0,0.238,6:20; 7:119; 8:276; 9:83; 10:2,0.8651391267776489,0.3411447350833774,15.0,498.0
1.96,500,0,0.238,6:10; 7:119; 8:263; 9:106; 10:2,0.8977855443954468,0.33858427934936725,15.0,498.0
1.98,500,0,0.224,6:9; 7:112; 8:261; 9:116; 10:2,0.8879132270812988,0.335784301541396,16.0,416.0
2.0,500,0,0.19,6:7; 7:95; 8:256; 9:138; 10:4,0.8652560710906982,0.33338447106379887,16.0,416.0
