sex_label,age_group,age_label,diagnosis,mean_fiq,ci_low,ci_high,n
Male,child_0_9,Child (0–9),ASD,107.03378378378379,102.67152920593632,111.39603836163126,74
Male,child_0_9,Child (0–9),Control,115.13924050632912,112.82078675692685,117.45769425573138,79
Male,preteen_10_12,Preteen (10–12),ASD,107.09545454545454,104.28883352120926,109.90207556969983,110
Male,preteen_10_12,Preteen (10–12),Control,113.44557823129252,111.47063226551722,115.4205241970678,147
Male,teen_13_17,Teen (13–17),ASD,105.53658536585365,102.67110553758073,108.40206519412658,123
Male,teen_13_17,Teen (13–17),Control,108.6910569105691,106.45053772247516,110.93157609866304,123
Male,adult_18_plus,Adult (18+),ASD,110.046875,107.60306962386785,112.49068037613215,128
Male,adult_18_plus,Adult (18+),Control,115.5774647887324,113.9014606964021,117.2534688810627,142
Female,child_0_9,Child (0–9),ASD,98.94117647058823,91.64910835245834,106.23324458871812,17
Female,child_0_9,Child (0–9),Control,112.99090909090908,109.1562693601511,116.82554882166707,55
Female,preteen_10_12,Preteen (10–12),ASD,104.125,99.49668033788322,108.75331966211678,20
Female,preteen_10_12,Preteen (10–12),Control,114.68367346938776,111.29430774701432,118.0730391917612,49
Female,teen_13_17,Teen (13–17),ASD,103.84375,93.95686664902264,113.73063335097736,16
Female,teen_13_17,Teen (13–17),Control,108.20930232558139,104.5098140863275,111.90879056483529,43
Female,adult_18_plus,Adult (18+),ASD,112.32142857142857,105.8455627249538,118.79729441790334,14
Female,adult_18_plus,Adult (18+),Control,112.68181818181819,108.67966256430694,116.68397379932944,22
