sex_label,dx_label,AGE_GROUP,n_subjects,n_FIQ,n_RIGHT_HANDED,n_complete_both,pct_FIQ,pct_RIGHT_HANDED,pct_complete_both
female,ASD,adult_18_plus,15,15,11,11,100.0,73.33333333333333,73.33333333333333
female,ASD,child_0_9,20,17,18,15,85.0,90.0,75.0
female,ASD,preteen_10_12,20,20,17,17,100.0,85.0,85.0
female,ASD,teen_13_17,18,16,14,12,88.88888888888889,77.77777777777777,66.66666666666667
female,CTL,adult_18_plus,23,23,15,15,100.0,65.21739130434783,65.21739130434783
female,CTL,child_0_9,57,55,51,49,96.49122807017544,89.47368421052632,85.96491228070175
female,CTL,preteen_10_12,50,49,45,44,98.0,90.0,88.0
female,CTL,teen_13_17,46,43,38,35,93.47826086956522,82.6086956521739,76.08695652173913
male,ASD,adult_18_plus,140,140,112,112,100.0,80.0,80.0
male,ASD,child_0_9,84,74,61,51,88.0952380952381,72.61904761904762,60.714285714285715
male,ASD,preteen_10_12,115,111,97,93,96.52173913043478,84.34782608695652,80.8695652173913
male,ASD,teen_13_17,132,124,114,106,93.93939393939394,86.36363636363636,80.3030303030303
male,CTL,adult_18_plus,156,156,118,118,100.0,75.64102564102564,75.64102564102564
male,CTL,child_0_9,88,79,76,67,89.77272727272727,86.36363636363636,76.13636363636364
male,CTL,preteen_10_12,151,147,131,127,97.35099337748345,86.75496688741723,84.10596026490066
male,CTL,teen_13_17,135,124,112,102,91.85185185185185,82.96296296296296,75.55555555555556
