SITE_ID,n_subjects,n_FIQ,n_RIGHT_HANDED,n_complete_both,pct_FIQ,pct_RIGHT_HANDED,pct_complete_both
ABIDEII-BNI_1,7,7,7,7,100.0,100.0,100.0
ABIDEII-EMC_1,21,0,21,0,0.0,100.0,0.0
ABIDEII-ETH_1,19,19,19,19,100.0,100.0,100.0
ABIDEII-GU_1,37,36,37,36,97.29729729729729,100.0,97.29729729729729
ABIDEII-KKI_1,106,105,106,105,99.05660377358491,100.0,99.05660377358491
ABIDEII-KUL_3,22,22,22,22,100.0,100.0,100.0
ABIDEII-NYU_1,17,17,13,13,100.0,76.47058823529412,76.47058823529412
ABIDEII-NYU_2,10,10,10,10,100.0,100.0,100.0
ABIDEII-OHSU_1,37,37,37,37,100.0,100.0,100.0
ABIDEII-TCD_1,23,23,23,23,100.0,100.0,100.0
ABIDEII-UCD_1,19,19,19,19,100.0,100.0,100.0
ABIDEII-UCLA_1,6,6,6,6,100.0,100.0,100.0
ABIDEII-USM_1,1,1,1,1,100.0,100.0,100.0
CALTECH,32,32,32,32,100.0,100.0,100.0
CMU,17,17,17,17,100.0,100.0,100.0
KKI,33,33,33,33,100.0,100.0,100.0
LEUVEN_1,25,25,25,25,100.0,100.0,100.0
LEUVEN_2,27,0,27,0,0.0,100.0,0.0
MAX_MUN,39,39,39,39,100.0,100.0,100.0
NYU,164,164,0,0,100.0,0.0,0.0
OLIN,14,14,14,14,100.0,100.0,100.0
PITT,35,35,34,34,100.0,97.14285714285714,97.14285714285714
SBL,16,16,1,1,100.0,6.25,6.25
SDSU,27,27,27,27,100.0,100.0,100.0
STANFORD,26,26,26,26,100.0,100.0,100.0
TRINITY,40,40,40,40,100.0,100.0,100.0
UCLA_1,52,52,52,52,100.0,100.0,100.0
UCLA_2,16,16,16,16,100.0,100.0,100.0
UM_1,68,68,62,62,100.0,91.17647058823529,91.17647058823529
UM_2,28,28,27,27,100.0,96.42857142857143,96.42857142857143
YALE,40,40,40,40,100.0,100.0,100.0
