SITE_ID,n_subjects,n_FIQ,n_RIGHT_HANDED,n_complete_both,pct_FIQ,pct_RIGHT_HANDED,pct_complete_both
ABIDEII-BNI_1,9,9,9,9,100.0,100.0,100.0
ABIDEII-EMC_1,23,0,23,0,0.0,100.0,0.0
ABIDEII-ETH_1,24,24,24,24,100.0,100.0,100.0
ABIDEII-GU_1,45,44,45,44,97.77777777777777,100.0,97.77777777777777
ABIDEII-KKI_1,161,160,161,160,99.37888198757764,100.0,99.37888198757764
ABIDEII-KUL_3,23,23,23,23,100.0,100.0,100.0
ABIDEII-NYU_1,21,21,16,16,100.0,76.19047619047619,76.19047619047619
ABIDEII-NYU_2,15,15,14,14,100.0,93.33333333333333,93.33333333333333
ABIDEII-OHSU_1,38,38,38,38,100.0,100.0,100.0
ABIDEII-TCD_1,30,30,30,30,100.0,100.0,100.0
ABIDEII-UCD_1,23,23,23,23,100.0,100.0,100.0
ABIDEII-UCLA_1,10,9,10,9,90.0,100.0,90.0
ABIDEII-USM_1,1,1,1,1,100.0,100.0,100.0
CALTECH,37,37,37,37,100.0,100.0,100.0
CMU,24,24,24,24,100.0,100.0,100.0
KKI,39,39,39,39,100.0,100.0,100.0
LEUVEN_1,29,29,29,29,100.0,100.0,100.0
LEUVEN_2,31,0,30,0,0.0,96.7741935483871,0.0
MAX_MUN,47,47,47,47,100.0,100.0,100.0
NYU,179,179,0,0,100.0,0.0,0.0
OLIN,24,24,24,24,100.0,100.0,100.0
PITT,47,47,46,46,100.0,97.87234042553192,97.87234042553192
SBL,26,26,1,1,100.0,3.8461538461538463,3.8461538461538463
SDSU,32,32,32,32,100.0,100.0,100.0
STANFORD,31,31,31,31,100.0,100.0,100.0
TRINITY,45,45,45,45,100.0,100.0,100.0
UCLA_1,55,55,55,55,100.0,100.0,100.0
UCLA_2,21,21,21,21,100.0,100.0,100.0
UM_1,81,81,75,75,100.0,92.5925925925926,92.5925925925926
UM_2,31,31,30,30,100.0,96.7741935483871,96.7741935483871
USM,1,1,0,0,100.0,0.0,0.0
YALE,47,47,47,47,100.0,100.0,100.0
