scenario,mapping_threshold,age_group,sex,metric,module,module_label,n_CTL,mean_CTL,sd_CTL,median_CTL,min_CTL,max_CTL,n_ASD,mean_ASD,sd_ASD,median_ASD,min_ASD,max_ASD,cohens_d_CTL_minus_ASD,abs_d
OVERALL_ageSexMatched_fd-0.3,fd-0.3,child_0_9,male,PC,1,M1 Somatomotor,88,0.8522178127089881,0.0055465603981379565,0.8526683313098326,0.8373360185735226,0.8636706112018537,84,0.85229184107507,0.005562230696548543,0.8526930485243396,0.8293080671634074,0.8620572223598297,-0.013328317905243645,0.013328317905243645
OVERALL_ageSexMatched_fd-0.3,fd-0.3,child_0_9,male,PC,2,M2 Visual-A,88,0.8542052013115938,0.0032511226774064616,0.8542409385238151,0.846174726958523,0.8620058458773965,84,0.852668826594657,0.004585270331913839,0.8532725384122063,0.8314527682755632,0.8635172868163239,0.38806433695929,0.38806433695929
OVERALL_ageSexMatched_fd-0.3,fd-0.3,child_0_9,male,PC,3,M3 Limbic,88,0.8545268394144379,0.004144450897483031,0.855060403658034,0.8441689902273957,0.8651755423391906,84,0.8540554004182532,0.00438952347565407,0.8545542433776241,0.8392436948173448,0.8620702283259546,0.11051432371759566,0.11051432371759566
OVERALL_ageSexMatched_fd-0.3,fd-0.3,child_0_9,male,PC,4,M4 Frontoparietal,88,0.8434364997276913,0.006105236880123714,0.8449430159547022,0.8243457599337252,0.8529244363055387,84,0.843889327282796,0.005222931980353919,0.8450168936647531,0.825814822487108,0.8522548203860606,-0.07956099191146285,0.07956099191146285
OVERALL_ageSexMatched_fd-0.3,fd-0.3,child_0_9,male,PC,5,M5 VentralAttention,88,0.839531864391967,0.00846183425985311,0.8406645723797406,0.8150909569699393,0.851949358272206,84,0.840275903024826,0.008201335281966687,0.8417302380096214,0.8180502626548098,0.8562274465971615,-0.08925964423226192,0.08925964423226192
OVERALL_ageSexMatched_fd-0.3,fd-0.3,child_0_9,male,PC,6,M6 Visual-B,88,0.8459452830199293,0.006062611095237455,0.8468878602253191,0.8279041268793333,0.8560887495471174,84,0.8478786610090429,0.006469169189757225,0.8482348889302311,0.8317601675887365,0.8613943307260339,-0.30862918249659477,0.30862918249659477
OVERALL_ageSexMatched_fd-0.3,fd-0.3,child_0_9,male,PC,7,M7 DefaultMode,88,0.8425661678054728,0.007417424451158391,0.8442722215396534,0.8194957759118207,0.8560550993490134,84,0.8440421894586783,0.0055233632851769,0.8451801635301,0.829343172956517,0.8541224647637414,-0.22495724032053396,0.22495724032053396
OVERALL_ageSexMatched_fd-0.3,fd-0.3,child_0_9,male,PC,8,M8 DorsalAttention,88,0.8475376346931331,0.004749734162156049,0.8478852906180783,0.8307819958458786,0.8575163670952076,84,0.8482474790254321,0.004544314563985939,0.8482479130258294,0.8354977859549568,0.8568954445623097,-0.15263582841290335,0.15263582841290335
OVERALL_ageSexMatched_fd-0.3,fd-0.3,child_0_9,male,PC_pos,1,M1 Somatomotor,88,0.8379384382796347,0.016906765863137156,0.8416292607654445,0.7622005180008419,0.8619415961116101,84,0.8362532144523284,0.015611100577404982,0.8405533038778026,0.7760616618366037,0.8614910618652326,0.1034701165158101,0.1034701165158101
OVERALL_ageSexMatched_fd-0.3,fd-0.3,child_0_9,male,PC_pos,2,M2 Visual-A,88,0.8349905349377384,0.014619272537410835,0.8356764746266159,0.7836346149991746,0.8608313103754996,84,0.8331188955436074,0.019613689937975444,0.8360722391410973,0.7069689678790279,0.8619374360622909,0.10856725369482889,0.10856725369482889
