stream,scenario,age_group,sex,metric,module,ados_col,model_key,asd_only,require_ados_reliable,n,pearson_r,pearson_p,spearman_rho,spearman_p,subject_csv,scatter_png,abs_spearman
dxsex,OVERALL_ageSexMatched_fd-0.3,child_0_9,female,PC,6,ADOS_GOTHAM_TOTAL,m1,True,False,6,0.5645120059953694,0.24317958544172946,0.7714285714285715,0.07239650145772594,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.3/child_0_9/female/PC/module_6/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.3/child_0_9/female/PC/module_6/scatter.png,0.7714285714285715
dxsex,OVERALL_ageSexMatched_fd-0.3,child_0_9,female,PC,7,ADOS_GOTHAM_TOTAL,m1,True,False,6,0.8079136141359763,0.05180204650918943,0.7714285714285715,0.07239650145772594,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.3/child_0_9/female/PC/module_7/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.3/child_0_9/female/PC/module_7/scatter.png,0.7714285714285715
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,female,PC,7,ADOS_GOTHAM_TOTAL,m1,True,False,8,-0.48579297473971883,0.22229812476277866,-0.6626987024788349,0.07330582330837658,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/PC/module_7/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/PC/module_7/scatter.png,0.6626987024788349
dxsex,OVERALL_ageSexMatched_fd-0.3,child_0_9,male,PC,6,ADOS_GOTHAM_TOTAL,m1,True,False,36,0.3686758192167562,0.026926496164076878,0.364219716895373,0.028975287300452224,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.3/child_0_9/male/PC/module_6/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.3/child_0_9/male/PC/module_6/scatter.png,0.364219716895373
dxsex,OVERALL_ageSexMatched_fd-0.3,child_0_9,male,PC,7,ADOS_GOTHAM_TOTAL,m1,True,False,36,0.19302207154405024,0.2593592761519893,0.21363758722977796,0.21090100103308873,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.3/child_0_9/male/PC/module_7/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.3/child_0_9/male/PC/module_7/scatter.png,0.21363758722977796
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Strength_neg,2,ADOS_GOTHAM_TOTAL,m1,True,False,27,-0.1086887430109865,0.5894436137793924,-0.17770557670166576,0.37519748368538963,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/child_0_9/male/Strength_neg/module_2/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/child_0_9/male/Strength_neg/module_2/scatter.png,0.17770557670166576
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,male,PC,7,ADOS_GOTHAM_TOTAL,m1,True,False,41,-0.1292819769293708,0.42047502071697035,-0.13187170220679573,0.4111474298348803,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/male/PC/module_7/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/male/PC/module_7/scatter.png,0.13187170220679573
dxsex,OVERALL_ageSexMatched_fd-0.2,adult_18_plus,female,Z,1,ADOS_GOTHAM_TOTAL,m1,True,False,1,,,,,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/female/Z/module_1/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/female/Z/module_1/scatter.png,
dxsex,OVERALL_ageSexMatched_fd-0.2,adult_18_plus,female,Z,5,ADOS_GOTHAM_TOTAL,m1,True,False,1,,,,,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/female/Z/module_5/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/female/Z/module_5/scatter.png,
dxsex,OVERALL_ageSexMatched_fd-0.2,adult_18_plus,female,Z_pos,1,ADOS_GOTHAM_TOTAL,m1,True,False,1,,,,,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/female/Z_pos/module_1/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/female/Z_pos/module_1/scatter.png,
dxsex,OVERALL_ageSexMatched_fd-0.2,adult_18_plus,male,Z,1,ADOS_GOTHAM_TOTAL,m1,True,False,1,,,,,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/male/Z/module_1/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/male/Z/module_1/scatter.png,
dxsex,OVERALL_ageSexMatched_fd-0.2,adult_18_plus,male,Z,5,ADOS_GOTHAM_TOTAL,m1,True,False,1,,,,,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/male/Z/module_5/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/male/Z/module_5/scatter.png,
dxsex,OVERALL_ageSexMatched_fd-0.2,adult_18_plus,male,Z_pos,1,ADOS_GOTHAM_TOTAL,m1,True,False,1,,,,,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/male/Z_pos/module_1/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/dxsex/OVERALL_ageSexMatched_fd-0.2/adult_18_plus/male/Z_pos/module_1/scatter.png,
