stream,scenario,age_group,sex,metric,module
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC,1
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC,2
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC,3
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC,4
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC,5
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC,6
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC,7
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC,8
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_pos,1
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_pos,2
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_pos,3
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_pos,4
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_pos,5
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_pos,6
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_pos,7
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_pos,8
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_neg,1
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_neg,2
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_neg,3
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_neg,4
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_neg,5
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_neg,6
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_neg,7
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_neg,8
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z,1
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z,2
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z,3
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z,4
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z,5
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z,6
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z,7
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z,8
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_pos,1
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_pos,2
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_pos,3
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_pos,4
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_pos,5
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_pos,6
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_pos,7
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_pos,8
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_neg,1
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_neg,2
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_neg,3
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_neg,4
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_neg,5
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_neg,6
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_neg,7
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_neg,8
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_pos,1
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_pos,2
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_pos,3
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_pos,4
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_pos,5
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_pos,6
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_pos,7
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_pos,8
dx_only,OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_neg,1
