FILE_ID,mean_degree,global_clustering,global_efficiency
Pitt_0050005,19.9,0.4973505704472099,0.277005225165039
Pitt_0050023,19.9,0.5471121763240754,0.2731368266519279
Pitt_0050029,19.9,0.5130728141692438,0.22869990151494973
Pitt_0050036,19.9,0.4202717274099633,0.22771278913114598
Pitt_0050038,19.9,0.5017918960547787,0.24857779902393104
Pitt_0050049,19.9,0.5079829989649629,0.26367771357928765
Pitt_0050057,19.9,0.49453062469032283,0.2108695422100134
Pitt_0050059,19.9,0.5613609800441539,0.2519435545877783
Olin_0050113,19.9,0.4819417799649679,0.21865131635935464
Olin_0050114,19.9,0.5410119889790751,0.23975612613315833
Olin_0050119,19.9,0.44801069188855763,0.2780303378384999
Olin_0050125,19.9,0.4960132826225457,0.19284566162059297
Olin_0050127,19.9,0.5084516095408509,0.27009279843882206
SDSU_0050201,19.895,0.49959955951546703,0.29348308061785716
SDSU_0050205,19.9,0.4754484879548949,0.2628541863310837
SDSU_0050206,19.9,0.5012361331220285,0.25848485227886014
SDSU_0050208,19.9,0.48398591609044245,0.2792427585191357
SDSU_0050213,19.9,0.47947295709012927,0.2595372564471141
SDSU_0050215,19.9,0.4960754451733833,0.26741848043311056
UM_1_0050276,19.9,0.47867699839870426,0.22138270464177234
UM_1_0050278,19.895,0.5319020722406101,0.2440119099873019
UM_1_0050284,19.895,0.5184195856173929,0.264080973109552
UM_1_0050285,19.9,0.4594845279444269,0.24227131392062
UM_1_0050300,19.895,0.5449918004838527,0.28387724652070667
UM_1_0050302,19.9,0.48404635856345685,0.2564099362412558
UM_1_0050319,19.895,0.41590923536515606,0.23071417935855007
UM_1_0050321,19.895,0.42613673969157456,0.20916832887696513
UM_1_0050336,19.9,0.46368552336908037,0.22542958223963902
UM_1_0050338,19.895,0.46196689727646906,0.27308235519594093
UM_1_0050340,19.9,0.48369053552638863,0.23295503315903265
UM_1_0050341,19.9,0.4257391752134918,0.21574105174470531
UM_1_0050343,19.9,0.4634585409760488,0.22425388883516814
UM_1_0050348,19.9,0.5168223967030234,0.24544746788876634
UM_1_0050353,19.895,0.5060615432194217,0.2778309806561838
UM_1_0050356,19.895,0.4546155744785882,0.22203952759221862
UM_1_0050357,19.9,0.4229743209074671,0.20783365289749087
UM_1_0050361,19.895,0.49360955891094993,0.22083770332687805
UM_1_0050369,19.9,0.5039121655729429,0.23575155385131658
UM_1_0050373,19.9,0.5490241743909824,0.26156727976455674
UM_1_0050374,19.9,0.5100046605561597,0.25883114721421613
UM_1_0050375,19.9,0.4482546730361355,0.22491719718624908
UM_1_0050379,19.9,0.47935450525469475,0.22677662665159973
