Source,Target,Type,Weight
1,16,Undirected,0.507187
1,26,Undirected,0.806021
1,31,Undirected,0.460990
1,44,Undirected,0.528516
1,54,Undirected,0.578055
1,70,Undirected,0.491977
1,85,Undirected,0.580845
1,89,Undirected,0.508361
1,97,Undirected,0.445566
1,100,Undirected,0.573306
1,102,Undirected,0.877705
1,105,Undirected,0.444239
1,108,Undirected,0.560470
1,131,Undirected,0.966165
1,132,Undirected,0.447803
1,138,Undirected,0.619880
1,142,Undirected,0.594499
1,143,Undirected,0.605250
1,150,Undirected,0.575347
1,158,Undirected,0.645348
1,159,Undirected,0.779604
1,170,Undirected,0.627063
1,172,Undirected,0.509464
1,175,Undirected,0.630022
1,177,Undirected,0.634081
1,189,Undirected,0.649899
2,3,Undirected,0.482180
2,5,Undirected,0.469500
2,11,Undirected,0.669091
2,14,Undirected,0.740370
2,19,Undirected,0.462682
2,49,Undirected,0.476133
2,61,Undirected,0.472229
2,69,Undirected,0.472751
2,72,Undirected,0.637334
2,73,Undirected,0.472124
2,74,Undirected,0.477107
2,82,Undirected,0.746333
2,91,Undirected,0.646857
2,95,Undirected,0.457770
2,101,Undirected,0.489892
2,104,Undirected,0.558789
2,107,Undirected,0.450861
2,109,Undirected,0.503008
2,117,Undirected,0.628770
2,133,Undirected,0.653581
2,139,Undirected,0.520192
2,140,Undirected,0.457736
2,141,Undirected,0.482330
2,149,Undirected,0.449612
2,150,Undirected,0.526422
2,173,Undirected,0.531069
2,174,Undirected,0.724724
2,186,Undirected,0.520151
2,191,Undirected,0.502579
2,193,Undirected,0.500068
3,6,Undirected,0.450854
3,14,Undirected,0.624538
3,19,Undirected,1.262769
3,22,Undirected,0.497172
3,46,Undirected,0.655370
3,51,Undirected,0.437976
3,54,Undirected,0.489935
3,58,Undirected,0.829801
3,70,Undirected,0.497291
3,81,Undirected,0.838937
3,85,Undirected,0.478602
3,89,Undirected,0.523803
3,97,Undirected,0.573815
3,105,Undirected,0.697851
3,106,Undirected,0.450416
3,109,Undirected,0.552739
3,127,Undirected,0.436481
3,139,Undirected,0.512732
3,147,Undirected,0.652641
3,163,Undirected,0.550676
3,166,Undirected,0.537064
3,174,Undirected,0.867805
3,179,Undirected,0.594664
3,197,Undirected,0.438560
4,20,Undirected,0.496691
4,24,Undirected,0.612213
4,33,Undirected,0.479408
4,35,Undirected,0.538869
4,55,Undirected,0.435305
4,59,Undirected,0.484345
4,66,Undirected,0.630523
4,67,Undirected,0.635040
4,79,Undirected,0.491539
4,83,Undirected,0.620129
4,107,Undirected,0.453228
4,119,Undirected,0.667985
