Id,Label,Degree,Group
0,ROI_1,26,M_CTL
1,ROI_2,30,M_CTL
2,ROI_3,25,M_CTL
3,ROI_4,23,M_CTL
4,ROI_5,20,M_CTL
5,ROI_6,49,M_CTL
6,ROI_7,16,M_CTL
7,ROI_8,27,M_CTL
8,ROI_9,21,M_CTL
9,ROI_10,11,M_CTL
10,ROI_11,30,M_CTL
11,ROI_12,8,M_CTL
12,ROI_13,32,M_CTL
13,ROI_14,28,M_CTL
14,ROI_15,6,M_CTL
15,ROI_16,24,M_CTL
16,ROI_17,15,M_CTL
17,ROI_18,8,M_CTL
18,ROI_19,23,M_CTL
19,ROI_20,20,M_CTL
20,ROI_21,13,M_CTL
21,ROI_22,26,M_CTL
22,ROI_23,15,M_CTL
23,ROI_24,35,M_CTL
24,ROI_25,14,M_CTL
25,ROI_26,29,M_CTL
26,ROI_27,3,M_CTL
27,ROI_28,22,M_CTL
28,ROI_29,12,M_CTL
29,ROI_30,1,M_CTL
30,ROI_31,29,M_CTL
31,ROI_32,6,M_CTL
32,ROI_33,30,M_CTL
33,ROI_34,20,M_CTL
34,ROI_35,23,M_CTL
35,ROI_36,6,M_CTL
36,ROI_37,13,M_CTL
37,ROI_38,20,M_CTL
38,ROI_39,7,M_CTL
39,ROI_40,26,M_CTL
40,ROI_41,8,M_CTL
41,ROI_42,3,M_CTL
42,ROI_43,6,M_CTL
43,ROI_44,22,M_CTL
44,ROI_45,10,M_CTL
45,ROI_46,21,M_CTL
46,ROI_47,10,M_CTL
47,ROI_48,17,M_CTL
48,ROI_49,19,M_CTL
49,ROI_50,34,M_CTL
50,ROI_51,16,M_CTL
51,ROI_52,3,M_CTL
52,ROI_53,18,M_CTL
53,ROI_54,28,M_CTL
54,ROI_55,26,M_CTL
55,ROI_56,15,M_CTL
56,ROI_57,5,M_CTL
57,ROI_58,24,M_CTL
58,ROI_59,20,M_CTL
59,ROI_60,26,M_CTL
60,ROI_61,21,M_CTL
61,ROI_62,16,M_CTL
62,ROI_63,23,M_CTL
63,ROI_64,22,M_CTL
64,ROI_65,27,M_CTL
65,ROI_66,40,M_CTL
66,ROI_67,25,M_CTL
67,ROI_68,1,M_CTL
68,ROI_69,22,M_CTL
69,ROI_70,24,M_CTL
70,ROI_71,5,M_CTL
71,ROI_72,30,M_CTL
72,ROI_73,27,M_CTL
73,ROI_74,16,M_CTL
74,ROI_75,18,M_CTL
75,ROI_76,25,M_CTL
76,ROI_77,12,M_CTL
77,ROI_78,9,M_CTL
78,ROI_79,44,M_CTL
79,ROI_80,9,M_CTL
80,ROI_81,32,M_CTL
81,ROI_82,28,M_CTL
82,ROI_83,18,M_CTL
83,ROI_84,6,M_CTL
84,ROI_85,31,M_CTL
85,ROI_86,1,M_CTL
86,ROI_87,7,M_CTL
87,ROI_88,13,M_CTL
88,ROI_89,32,M_CTL
89,ROI_90,24,M_CTL
90,ROI_91,30,M_CTL
91,ROI_92,12,M_CTL
92,ROI_93,23,M_CTL
93,ROI_94,5,M_CTL
94,ROI_95,23,M_CTL
95,ROI_96,24,M_CTL
96,ROI_97,29,M_CTL
97,ROI_98,19,M_CTL
98,ROI_99,15,M_CTL
99,ROI_100,32,M_CTL
100,ROI_101,11,M_CTL
101,ROI_102,22,M_CTL
102,ROI_103,8,M_CTL
103,ROI_104,24,M_CTL
104,ROI_105,33,M_CTL
105,ROI_106,27,M_CTL
106,ROI_107,23,M_CTL
107,ROI_108,22,M_CTL
108,ROI_109,24,M_CTL
109,ROI_110,8,M_CTL
110,ROI_111,21,M_CTL
111,ROI_112,11,M_CTL
112,ROI_113,12,M_CTL
113,ROI_114,26,M_CTL
114,ROI_115,24,M_CTL
115,ROI_116,18,M_CTL
116,ROI_117,20,M_CTL
117,ROI_118,12,M_CTL
118,ROI_119,32,M_CTL
119,ROI_120,10,M_CTL
120,ROI_121,21,M_CTL
121,ROI_122,11,M_CTL
122,ROI_123,37,M_CTL
123,ROI_124,2,M_CTL
124,ROI_125,23,M_CTL
125,ROI_126,8,M_CTL
126,ROI_127,21,M_CTL
127,ROI_128,30,M_CTL
128,ROI_129,10,M_CTL
129,ROI_130,1,M_CTL
130,ROI_131,25,M_CTL
131,ROI_132,28,M_CTL
132,ROI_133,27,M_CTL
133,ROI_134,18,M_CTL
134,ROI_135,5,M_CTL
135,ROI_136,26,M_CTL
136,ROI_137,25,M_CTL
137,ROI_138,32,M_CTL
138,ROI_139,29,M_CTL
139,ROI_140,17,M_CTL
140,ROI_141,18,M_CTL
141,ROI_142,23,M_CTL
142,ROI_143,31,M_CTL
143,ROI_144,14,M_CTL
144,ROI_145,5,M_CTL
145,ROI_146,39,M_CTL
146,ROI_147,19,M_CTL
147,ROI_148,5,M_CTL
148,ROI_149,33,M_CTL
149,ROI_150,33,M_CTL
150,ROI_151,18,M_CTL
151,ROI_152,15,M_CTL
152,ROI_153,14,M_CTL
153,ROI_154,16,M_CTL
154,ROI_155,8,M_CTL
155,ROI_156,25,M_CTL
156,ROI_157,18,M_CTL
157,ROI_158,20,M_CTL
158,ROI_159,33,M_CTL
159,ROI_160,5,M_CTL
160,ROI_161,30,M_CTL
161,ROI_162,9,M_CTL
162,ROI_163,35,M_CTL
163,ROI_164,15,M_CTL
164,ROI_165,18,M_CTL
165,ROI_166,20,M_CTL
166,ROI_167,22,M_CTL
167,ROI_168,16,M_CTL
168,ROI_169,13,M_CTL
169,ROI_170,33,M_CTL
170,ROI_171,19,M_CTL
171,ROI_172,34,M_CTL
172,ROI_173,18,M_CTL
173,ROI_174,32,M_CTL
174,ROI_175,21,M_CTL
175,ROI_176,8,M_CTL
176,ROI_177,28,M_CTL
177,ROI_178,15,M_CTL
178,ROI_179,26,M_CTL
179,ROI_180,24,M_CTL
180,ROI_181,8,M_CTL
181,ROI_182,14,M_CTL
182,ROI_183,14,M_CTL
183,ROI_184,32,M_CTL
184,ROI_185,29,M_CTL
185,ROI_186,26,M_CTL
186,ROI_187,22,M_CTL
187,ROI_188,26,M_CTL
188,ROI_189,36,M_CTL
189,ROI_190,6,M_CTL
190,ROI_191,28,M_CTL
191,ROI_192,26,M_CTL
192,ROI_193,25,M_CTL
193,ROI_194,5,M_CTL
194,ROI_195,29,M_CTL
195,ROI_196,31,M_CTL
196,ROI_197,29,M_CTL
197,ROI_198,3,M_CTL
198,ROI_199,6,M_CTL
199,ROI_200,30,M_CTL
