Source,Target,Weight,Type
0,15,0.47616189517625135,Undirected
0,25,0.7291005780596239,Undirected
0,43,0.5104946177993853,Undirected
0,53,0.5228874496337432,Undirected
0,69,0.426681395255157,Undirected
0,84,0.5736112118216685,Undirected
0,88,0.4721486920724886,Undirected
0,96,0.4359605623834577,Undirected
0,99,0.5001274776422393,Undirected
0,101,0.7559533903165664,Undirected
0,107,0.5568159125332784,Undirected
0,130,0.8942033405359064,Undirected
0,137,0.5664681297229828,Undirected
0,141,0.5288770023545626,Undirected
0,142,0.5418840483268161,Undirected
0,149,0.5555549992331771,Undirected
0,157,0.6524703564486585,Undirected
0,158,0.7443167099842168,Undirected
0,169,0.5730471322647,Undirected
0,171,0.5007805200582743,Undirected
0,174,0.6039935121065764,Undirected
0,176,0.5975552326717605,Undirected
0,188,0.6381375679806894,Undirected
0,194,0.4389278987126437,Undirected
1,2,0.48951032805006606,Undirected
1,4,0.4507142472609932,Undirected
1,10,0.6536860761272105,Undirected
1,13,0.7182626636138978,Undirected
1,18,0.4641188312566365,Undirected
1,21,0.4181476991801884,Undirected
1,48,0.4405254219615437,Undirected
1,55,0.44339585444597784,Undirected
1,57,0.4426724281659291,Undirected
1,60,0.41994097081835713,Undirected
1,68,0.5094132139141689,Undirected
1,71,0.531842867591606,Undirected
1,72,0.45787929538624283,Undirected
1,73,0.42184366408947516,Undirected
1,81,0.7327871510185682,Undirected
1,90,0.608050326705561,Undirected
1,94,0.44310910739475534,Undirected
1,103,0.5181342415489069,Undirected
1,106,0.47175900964822903,Undirected
1,108,0.44565143721618006,Undirected
1,116,0.6818878868614079,Undirected
1,132,0.576893222647633,Undirected
1,138,0.46205703530568026,Undirected
1,140,0.42746692316122137,Undirected
1,149,0.48466396335722006,Undirected
1,172,0.46103648815314896,Undirected
1,173,0.6906690441396981,Undirected
1,185,0.45785639168637354,Undirected
1,190,0.48233356457293053,Undirected
1,192,0.4585339933376756,Undirected
2,4,0.44554834019224815,Undirected
