Source,Target,Weight,Type
0,15,0.4509775584576717,Undirected
0,25,0.7867285310077741,Undirected
0,43,0.4352041851553683,Undirected
0,53,0.510255163666263,Undirected
0,62,0.4011300947978217,Undirected
0,84,0.5403651438757111,Undirected
0,88,0.4002571031559482,Undirected
0,99,0.5690028341979636,Undirected
0,101,0.8295447221287734,Undirected
0,107,0.46776599861027773,Undirected
0,130,0.9040788751879449,Undirected
0,131,0.3994033413690009,Undirected
0,137,0.5485462750781762,Undirected
0,141,0.5503362449457198,Undirected
0,142,0.560353022293559,Undirected
0,149,0.5189031655903513,Undirected
0,157,0.6541453606700737,Undirected
0,158,0.7881177736845154,Undirected
0,169,0.5710982979581459,Undirected
0,171,0.45319468541893715,Undirected
0,174,0.6295380069268443,Undirected
0,176,0.5687771233472569,Undirected
0,188,0.6020604860762189,Undirected
1,2,0.4407957093485597,Undirected
1,4,0.43962089915817887,Undirected
1,10,0.6440798554140814,Undirected
1,13,0.6928756318950166,Undirected
1,18,0.4275579256268497,Undirected
1,48,0.45076598593216577,Undirected
1,68,0.5082565848758183,Undirected
1,71,0.5726195096599064,Undirected
1,72,0.40866734005075855,Undirected
1,73,0.4386590167086418,Undirected
1,81,0.6484476585624891,Undirected
1,90,0.5885243271046627,Undirected
1,96,0.40651388276020367,Undirected
1,100,0.4265706814380353,Undirected
1,103,0.4960686379380704,Undirected
1,106,0.49352818874101084,Undirected
1,108,0.41863191910758024,Undirected
1,116,0.6313769179192122,Undirected
1,132,0.559651766800234,Undirected
1,138,0.46752392557582473,Undirected
1,139,0.44617064214731733,Undirected
1,140,0.4868888969470596,Undirected
1,149,0.48829763841386187,Undirected
1,172,0.46585107196007314,Undirected
1,173,0.6480891699253791,Undirected
1,185,0.44278377632578475,Undirected
1,190,0.42749014254373513,Undirected
1,192,0.48026078791971766,Undirected
2,4,0.4845909547478434,Undirected
2,5,0.4288242615190439,Undirected
2,13,0.5507755738772726,Undirected
2,18,1.269789882316079,Undirected
2,21,0.5211272788055666,Undirected
2,45,0.6443141940315277,Undirected
2,48,0.40757599103142916,Undirected
2,50,0.4789630057975477,Undirected
2,57,0.8884418486859483,Undirected
2,61,0.4625773989732621,Undirected
2,69,0.441850463851148,Undirected
2,71,0.45452404261500595,Undirected
2,80,0.8308045443006342,Undirected
2,81,0.4409109343026113,Undirected
2,88,0.4526841093160067,Undirected
2,90,0.430895157067269,Undirected
2,96,0.5294119061320286,Undirected
2,103,0.4326481757258092,Undirected
2,104,0.6713550410032354,Undirected
2,105,0.4638825049822487,Undirected
2,108,0.6028893199226283,Undirected
2,121,0.4647254830937268,Undirected
2,126,0.432870878558946,Undirected
2,138,0.5384606335285601,Undirected
2,146,0.6469715158121185,Undirected
2,162,0.47761058098618653,Undirected
2,165,0.5223905341525555,Undirected
2,173,0.8792667793954914,Undirected
2,178,0.5824704075078408,Undirected
2,190,0.4410868958350738,Undirected
3,19,0.4601288415664025,Undirected
3,23,0.6200783290493044,Undirected
3,32,0.4912066469409139,Undirected
3,34,0.5675331687640102,Undirected
3,54,0.43100953044180074,Undirected
3,58,0.487160969804706,Undirected
3,65,0.6402129869594785,Undirected
3,66,0.5994815713984113,Undirected
3,78,0.4955539365325299,Undirected
3,82,0.6049374867144088,Undirected
3,118,0.6607442731895664,Undirected
3,120,0.6290284215304427,Undirected
3,122,0.4274724165353096,Undirected
3,127,0.543319719333734,Undirected
3,128,0.5128478834495542,Undirected
3,136,0.7801149563730337,Undirected
3,145,0.6759099699521742,Undirected
3,152,0.4139659463124162,Undirected
3,177,0.4484684596503257,Undirected
3,183,0.6813118427626145,Undirected
3,184,0.5727159225385002,Undirected
3,195,0.4503132251582323,Undirected
3,199,0.6011380432843572,Undirected
4,10,0.4286335744866059,Undirected
4,18,0.47329412116764047,Undirected
4,21,1.0708188467889324,Undirected
4,28,0.4882407617467586,Undirected
4,39,0.7666251819462714,Undirected
4,45,0.5108254283572782,Undirected
4,50,0.6384007737879043,Undirected
4,57,0.5374666151570276,Undirected
4,71,0.4769414603280174,Undirected
4,81,0.48386556141612147,Undirected
4,90,0.8100077274008023,Undirected
4,103,0.7366508689145022,Undirected
4,105,0.41875282188192875,Undirected
4,108,0.7587638068470821,Undirected
4,111,0.4070743511773136,Undirected
