Id,Module,Degree,Label
1,2,14.263386357937335,CC200_ROI_001
2,1,15.537105978870677,CC200_ROI_002
3,1,14.114777418391707,CC200_ROI_003
4,4,12.739863105470137,CC200_ROI_004
5,1,11.175534575530346,CC200_ROI_005
6,5,23.93406097204251,CC200_ROI_006
7,3,8.846422449471861,CC200_ROI_007
8,5,14.27717224394362,CC200_ROI_008
9,6,12.109931185344191,CC200_ROI_009
10,6,6.042623542009083,CC200_ROI_010
11,1,14.534907633089485,CC200_ROI_011
12,3,4.209389786424735,CC200_ROI_012
13,3,21.291017967500345,CC200_ROI_013
14,1,11.29424604785748,CC200_ROI_014
15,7,3.7674649094291026,CC200_ROI_015
16,2,11.802903064907959,CC200_ROI_016
17,3,9.30426734967996,CC200_ROI_017
18,7,8.667071343047475,CC200_ROI_018
19,1,13.243716882516095,CC200_ROI_019
20,4,11.698811100645472,CC200_ROI_020
21,5,7.714792906414776,CC200_ROI_021
22,1,13.858632105669638,CC200_ROI_022
23,3,7.285638563824285,CC200_ROI_023
24,4,16.651816868998708,CC200_ROI_024
25,3,8.242182648961816,CC200_ROI_025
26,2,17.31966552043251,CC200_ROI_026
27,1,3.8581426093266376,CC200_ROI_027
28,5,11.28864566514154,CC200_ROI_028
29,1,7.292452177007155,CC200_ROI_029
30,6,0.9150248716251433,CC200_ROI_030
31,5,12.139785888023226,CC200_ROI_031
32,1,4.759567990650709,CC200_ROI_032
33,4,15.707134109703997,CC200_ROI_033
34,3,10.147828328117377,CC200_ROI_034
35,4,14.259825948873278,CC200_ROI_035
36,6,4.149832940051812,CC200_ROI_036
37,6,8.975556257641724,CC200_ROI_037
38,3,13.15894301582281,CC200_ROI_038
39,3,3.544359518534044,CC200_ROI_039
40,1,13.539386613741552,CC200_ROI_040
41,6,4.558163792013852,CC200_ROI_041
42,3,1.9329626252923078,CC200_ROI_042
43,1,3.434434050102007,CC200_ROI_043
44,2,13.657776863604605,CC200_ROI_044
45,7,10.668211079986873,CC200_ROI_045
46,1,11.021215506277432,CC200_ROI_046
47,7,7.153204589515421,CC200_ROI_047
48,6,9.564228001347765,CC200_ROI_048
49,1,9.523924295025454,CC200_ROI_049
50,5,19.200830848702328,CC200_ROI_050
51,1,7.550879630738345,CC200_ROI_051
52,6,1.775628169647149,CC200_ROI_052
53,1,6.488589494432498,CC200_ROI_053
54,2,16.990295591856203,CC200_ROI_054
55,4,16.06462177220791,CC200_ROI_055
56,3,8.413474749352407,CC200_ROI_056
57,1,2.930125207766949,CC200_ROI_057
58,1,14.7443489494569,CC200_ROI_058
59,4,12.44916266005442,CC200_ROI_059
60,5,12.803707004455706,CC200_ROI_060
61,3,12.32002589725003,CC200_ROI_061
62,1,10.723833759451708,CC200_ROI_062
63,2,12.546012164976844,CC200_ROI_063
64,5,11.66376495065282,CC200_ROI_064
65,5,12.449509917949591,CC200_ROI_065
66,4,18.58270135061199,CC200_ROI_066
67,4,15.541743091773313,CC200_ROI_067
68,6,0.5321517004283141,CC200_ROI_068
69,4,11.304955595645596,CC200_ROI_069
70,2,14.178207765489836,CC200_ROI_070
71,1,3.4414007422505253,CC200_ROI_071
72,1,16.080002993502177,CC200_ROI_072
73,3,15.307374791584342,CC200_ROI_073
74,1,5.764037382063014,CC200_ROI_074
75,3,8.465320349143067,CC200_ROI_075
76,5,14.579904681252032,CC200_ROI_076
77,6,7.422045413700399,CC200_ROI_077
78,1,5.40670398044474,CC200_ROI_078
79,4,24.11863610867129,CC200_ROI_079
80,6,6.433723390674707,CC200_ROI_080
81,2,17.4855892552263,CC200_ROI_081
82,1,15.272604001626052,CC200_ROI_082
83,4,10.121973798021418,CC200_ROI_083
84,7,4.709125531633512,CC200_ROI_084
85,2,15.429233426073255,CC200_ROI_085
86,6,1.2464883428673246,CC200_ROI_086
87,1,4.857066588327227,CC200_ROI_087
88,4,7.201671781193053,CC200_ROI_088
89,2,20.467293112149264,CC200_ROI_089
90,5,13.349364551851174,CC200_ROI_090
91,1,16.38408072303694,CC200_ROI_091
92,1,8.373938365148598,CC200_ROI_092
93,5,12.597530599214721,CC200_ROI_093
94,7,2.694256677434473,CC200_ROI_094
95,3,14.599014107487303,CC200_ROI_095
96,5,12.190483498375162,CC200_ROI_096
97,2,15.619483466227997,CC200_ROI_097
98,4,9.171313429833598,CC200_ROI_098
99,3,5.957784830796006,CC200_ROI_099
100,2,16.548954453710635,CC200_ROI_100
101,1,5.816760024264399,CC200_ROI_101
102,2,14.124271302785298,CC200_ROI_102
103,6,5.128155551113992,CC200_ROI_103
104,1,12.923356278010226,CC200_ROI_104
105,2,16.315879330012756,CC200_ROI_105
106,1,14.474571362220384,CC200_ROI_106
107,4,12.590073784741442,CC200_ROI_107
108,2,14.540934781701187,CC200_ROI_108
109,1,11.020511310638792,CC200_ROI_109
110,1,3.7328315787063,CC200_ROI_110
111,5,10.934397215831083,CC200_ROI_111
112,1,6.453068890211611,CC200_ROI_112
113,3,4.73229486299625,CC200_ROI_113
114,3,14.510125982323519,CC200_ROI_114
115,3,15.977959615203433,CC200_ROI_115
116,4,8.787284679500079,CC200_ROI_116
117,4,10.523132570905304,CC200_ROI_117
118,6,7.562731472089863,CC200_ROI_118
119,4,19.601383618381078,CC200_ROI_119
120,6,5.943963355968364,CC200_ROI_120
121,4,13.63719433655665,CC200_ROI_121
122,1,7.8521406691364595,CC200_ROI_122
123,5,22.406820408037703,CC200_ROI_123
124,3,1.4335788822876632,CC200_ROI_124
125,3,13.365550980309822,CC200_ROI_125
126,6,6.81871384741004,CC200_ROI_126
127,3,11.650029989271605,CC200_ROI_127
128,4,17.657275008549934,CC200_ROI_128
129,1,4.6421881835740715,CC200_ROI_129
130,1,1.3907329540818396,CC200_ROI_130
131,2,14.848337705716943,CC200_ROI_131
132,2,13.31507019574397,CC200_ROI_132
133,1,15.10077128574853,CC200_ROI_133
134,5,10.544108937563571,CC200_ROI_134
135,7,3.067659558268343,CC200_ROI_135
136,5,12.87107164474413,CC200_ROI_136
137,4,13.93725327318376,CC200_ROI_137
138,2,19.974636948641404,CC200_ROI_138
139,1,15.49537399432331,CC200_ROI_139
140,1,6.67459444003665,CC200_ROI_140
141,1,7.615511488805357,CC200_ROI_141
142,2,14.824059747219014,CC200_ROI_142
143,2,11.412726791526586,CC200_ROI_143
144,4,7.7136289629323205,CC200_ROI_144
145,1,5.6904236910878945,CC200_ROI_145
146,4,19.615014814369715,CC200_ROI_146
147,2,11.980060492383231,CC200_ROI_147
148,7,2.895616810892816,CC200_ROI_148
149,3,16.25552692236271,CC200_ROI_149
150,2,12.430107985939506,CC200_ROI_150
151,3,9.902136452581068,CC200_ROI_151
152,6,8.667038129656717,CC200_ROI_152
153,1,7.804561063544089,CC200_ROI_153
154,4,7.029501873818418,CC200_ROI_154
155,1,4.9565703043472205,CC200_ROI_155
156,3,13.96626318757828,CC200_ROI_156
157,4,8.534903001223395,CC200_ROI_157
158,2,11.138305100337076,CC200_ROI_158
159,2,16.7560213820345,CC200_ROI_159
160,1,2.832743186927616,CC200_ROI_160
161,5,15.106324391126451,CC200_ROI_161
162,6,4.994291069060106,CC200_ROI_162
163,5,17.62377601465495,CC200_ROI_163
164,3,7.102377012401612,CC200_ROI_164
165,4,9.986373011053955,CC200_ROI_165
166,3,10.855146302507407,CC200_ROI_166
167,3,11.670088012947483,CC200_ROI_167
168,3,9.263270318883304,CC200_ROI_168
169,3,3.8062439268578587,CC200_ROI_169
170,2,18.546687041373662,CC200_ROI_170
