Id,Module,Degree,Label
1,2,12.934460593491448,CC200_ROI_001
2,1,15.417832325256136,CC200_ROI_002
3,1,18.065983647995992,CC200_ROI_003
4,4,12.915092394867429,CC200_ROI_004
5,1,14.423759927876336,CC200_ROI_005
6,5,25.354562602169175,CC200_ROI_006
7,3,10.034353036734451,CC200_ROI_007
8,5,12.765479180033982,CC200_ROI_008
9,6,10.252262081238356,CC200_ROI_009
10,6,6.58071936207587,CC200_ROI_010
11,1,14.350946407721331,CC200_ROI_011
12,3,4.690429224603157,CC200_ROI_012
13,3,19.914586036869824,CC200_ROI_013
14,1,14.471902516663913,CC200_ROI_014
15,7,4.172964684603303,CC200_ROI_015
16,2,12.066138364568724,CC200_ROI_016
17,3,9.790003593066182,CC200_ROI_017
18,7,9.092617460760074,CC200_ROI_018
19,1,15.626300542097077,CC200_ROI_019
20,4,8.222476002627218,CC200_ROI_020
21,5,6.925735794573205,CC200_ROI_021
22,1,16.68922244856149,CC200_ROI_022
23,3,7.527599480448306,CC200_ROI_023
24,4,15.534141649133907,CC200_ROI_024
25,3,7.650058630953955,CC200_ROI_025
26,2,16.11269059436359,CC200_ROI_026
27,1,2.835132049112354,CC200_ROI_027
28,5,8.583732557495816,CC200_ROI_028
29,1,10.888062086546434,CC200_ROI_029
30,6,0.4244503937577636,CC200_ROI_030
31,5,11.817809427177302,CC200_ROI_031
32,1,3.773355260449174,CC200_ROI_032
33,4,13.958336777451612,CC200_ROI_033
34,3,9.146895450221027,CC200_ROI_034
35,4,11.820403398867523,CC200_ROI_035
36,6,4.687547215283712,CC200_ROI_036
37,6,7.322553144786024,CC200_ROI_037
38,3,15.197770450868578,CC200_ROI_038
39,3,4.905650025002557,CC200_ROI_039
40,1,16.022642382979843,CC200_ROI_040
41,6,3.567141749860103,CC200_ROI_041
42,3,2.9371191508121357,CC200_ROI_042
43,1,3.3503484643295582,CC200_ROI_043
44,2,12.609870625888895,CC200_ROI_044
45,7,10.1184808019127,CC200_ROI_045
46,1,16.083364453346455,CC200_ROI_046
47,7,7.193400568049661,CC200_ROI_047
48,6,8.6315292452958,CC200_ROI_048
49,1,13.903396182869038,CC200_ROI_049
50,5,18.067602116546723,CC200_ROI_050
51,1,8.182308575271504,CC200_ROI_051
52,6,1.2755178714885687,CC200_ROI_052
53,1,4.922405581098997,CC200_ROI_053
54,2,15.270863486741451,CC200_ROI_054
55,4,18.157394092333135,CC200_ROI_055
56,3,8.307098890733435,CC200_ROI_056
