Id,Label,Degree,Group
0,ROI_1,24,F_ASD
1,ROI_2,30,F_ASD
2,ROI_3,33,F_ASD
3,ROI_4,22,F_ASD
4,ROI_5,23,F_ASD
5,ROI_6,46,F_ASD
6,ROI_7,22,F_ASD
7,ROI_8,18,F_ASD
8,ROI_9,21,F_ASD
9,ROI_10,12,F_ASD
10,ROI_11,27,F_ASD
11,ROI_12,9,F_ASD
12,ROI_13,36,F_ASD
13,ROI_14,25,F_ASD
14,ROI_15,8,F_ASD
15,ROI_16,24,F_ASD
16,ROI_17,20,F_ASD
17,ROI_18,21,F_ASD
18,ROI_19,22,F_ASD
19,ROI_20,15,F_ASD
20,ROI_21,12,F_ASD
21,ROI_22,24,F_ASD
22,ROI_23,13,F_ASD
23,ROI_24,24,F_ASD
24,ROI_25,16,F_ASD
25,ROI_26,27,F_ASD
26,ROI_27,5,F_ASD
27,ROI_28,13,F_ASD
28,ROI_29,20,F_ASD
29,ROI_30,1,F_ASD
30,ROI_31,27,F_ASD
31,ROI_32,8,F_ASD
32,ROI_33,25,F_ASD
33,ROI_34,20,F_ASD
34,ROI_35,19,F_ASD
35,ROI_36,8,F_ASD
36,ROI_37,20,F_ASD
37,ROI_38,28,F_ASD
38,ROI_39,12,F_ASD
39,ROI_40,28,F_ASD
40,ROI_41,6,F_ASD
41,ROI_42,4,F_ASD
42,ROI_43,5,F_ASD
43,ROI_44,22,F_ASD
44,ROI_45,18,F_ASD
45,ROI_46,26,F_ASD
46,ROI_47,14,F_ASD
47,ROI_48,26,F_ASD
48,ROI_49,26,F_ASD
49,ROI_50,33,F_ASD
50,ROI_51,15,F_ASD
51,ROI_52,3,F_ASD
52,ROI_53,13,F_ASD
53,ROI_54,25,F_ASD
54,ROI_55,30,F_ASD
55,ROI_56,17,F_ASD
56,ROI_57,4,F_ASD
57,ROI_58,36,F_ASD
58,ROI_59,20,F_ASD
59,ROI_60,18,F_ASD
60,ROI_61,27,F_ASD
61,ROI_62,22,F_ASD
62,ROI_63,25,F_ASD
63,ROI_64,27,F_ASD
64,ROI_65,22,F_ASD
65,ROI_66,29,F_ASD
66,ROI_67,26,F_ASD
67,ROI_68,2,F_ASD
68,ROI_69,18,F_ASD
69,ROI_70,22,F_ASD
70,ROI_71,4,F_ASD
71,ROI_72,28,F_ASD
72,ROI_73,26,F_ASD
73,ROI_74,10,F_ASD
74,ROI_75,17,F_ASD
75,ROI_76,28,F_ASD
