network,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,cohen_d_CTL_minus_ASD,n_ASD,n_CTL,p_FDR,FDR_significant
net1_1,0.013931634710187362,0.5756634495493427,0.33930709425089844,0.34994800311995583,0.12926801590238846,17,39,0.8949230307165719,False
net1_2,0.0018356394491978595,0.9455488023730151,0.2094828413994115,0.20816104522199771,-0.014803910106718651,17,39,0.9455488023730151,False
net1_3,-0.004721850687940409,0.8601471421147282,0.21833090998559324,0.2055269508710217,-0.1414461803545021,17,39,0.8949230307165719,False
net1_4,0.020197200873399747,0.4884039930511739,0.16268703542000656,0.16906109813601516,0.06317851501672393,17,39,0.8949230307165719,False
net1_5,0.006227482959808708,0.8428874338590111,0.156545428243861,0.1546486134400493,-0.01822089729763213,17,39,0.8949230307165719,False
net1_6,-0.026258122586422655,0.23022116107673338,0.2222478541641393,0.19534639954015018,-0.3759795054973586,17,39,0.8949230307165719,False
net1_7,0.005746619134298039,0.8334719425200127,0.22470919853780402,0.2300313651706592,0.05958581791628558,17,39,0.8949230307165719,False
net2_2,0.02223977939871344,0.5649390555958274,0.5119257787252761,0.5158540681258725,0.02994565110842794,17,39,0.8949230307165719,False
net2_3,0.018698358063379102,0.5574312043375624,0.1926402544936993,0.2118016753146918,0.18381211009377832,17,39,0.8949230307165719,False
net2_4,0.02153612101718664,0.5074232870618116,0.20823816978591464,0.21951203327659358,0.10293139212682918,17,39,0.8949230307165719,False
net2_5,-0.009587871190890218,0.7641481238816994,0.28078400675870285,0.26496647104296744,-0.15011576603959573,17,39,0.8949230307165719,False
net2_6,-0.029517860073523236,0.29999461575240177,0.2840914794098523,0.24741839998291104,-0.385791804638001,17,39,0.8949230307165719,False
net2_7,-0.00955858168229973,0.7579523193783785,0.19167581308596074,0.18602955669246635,-0.05546318401157117,17,39,0.8949230307165719,False
net3_3,-0.010465335194387748,0.7569291881593022,0.39203636689202437,0.3798349011245833,-0.1092382396804138,17,39,0.8949230307165719,False
net3_4,0.028477862898422752,0.38718402365739346,0.18705026733784041,0.20476419257947084,0.1606017992880393,17,39,0.8949230307165719,False
net3_5,0.013008016351686942,0.7162626459099544,0.2291100964608898,0.23615016524332091,0.05946124764444502,17,39,0.8949230307165719,False
net3_6,-0.04818099161143331,0.044869605800119866,0.20524976460364974,0.1623273354844394,-0.5507876261467025,17,39,0.6281744812016782,False
net3_7,-0.0052605780785912794,0.8629614939052658,0.22403516808288684,0.22153242994361572,-0.024988061018655944,17,39,0.8949230307165719,False
net4_4,0.044210717268120425,0.1944231378554479,0.43595590551550023,0.46601886284337535,0.26054067306280526,17,39,0.8949230307165719,False
net4_5,0.02300963825337545,0.46815251606945785,0.2864578425790096,0.3046033603454444,0.17477023129153293,17,39,0.8949230307165719,False
net4_6,-0.034460423491366354,0.10947511727157165,0.1941882601440262,0.15426452195175314,-0.5426499010567093,17,39,0.7663258209010017,False
net4_7,0.009738747876014666,0.7634347548256752,0.2287496404595123,0.2358900279046025,0.06711978195396229,17,39,0.8949230307165719,False
net5_5,0.04042832515987562,0.2693955428318367,0.4658160966669681,0.47965264793752144,0.1058718313113088,17,39,0.8949230307165719,False
net5_6,-0.06328286603696563,0.022515626382069717,0.22058407978360745,0.15802599742768877,-0.7067894563558611,17,39,0.6281744812016782,False
net5_7,-0.039625492392626964,0.2921784217601635,0.22488588303071055,0.1866610463405737,-0.3101619849427952,17,39,0.8949230307165719,False
net6_6,-0.007910580519066006,0.8076051257943838,0.3709981929634363,0.35465155867291615,-0.15031053811770584,17,39,0.8949230307165719,False
net6_7,-0.014716804956069045,0.5167485145331927,0.2436219180867619,0.23064943134174995,-0.1742896623655552,17,39,0.8949230307165719,False
net7_7,0.05050222723854676,0.09902252541485819,0.4643353398214096,0.5099869838015738,0.45388791481177515,17,39,0.7663258209010017,False
